time,open,high,low,close,Volume,Volume MA
1684670400,0.362,0.365,0.358,0.36,882939.3,846688.3150001327
1684684800,0.36,0.361,0.358,0.361,569964.9,811139.5400001326
1684699200,0.361,0.362,0.358,0.36,584684.5,802892.5200001326
1684713600,0.36,0.362,0.356,0.361,1476829.8,823349.4250001328
1684728000,0.361,0.364,0.36,0.363,818946.2,789309.7850001326
1684742400,0.363,0.374,0.362,0.368,4260896.6,957837.5500001326
1684756800,0.368,0.371,0.366,0.367,1312571.9,992011.5250001326
1684771200,0.368,0.369,0.367,0.369,761970.6,988363.7050001327
1684785600,0.368,0.371,0.367,0.368,1232134.6,987165.5200001327
1684800000,0.368,0.376,0.366,0.374,1344230.9,1002537.7750001326
1684814400,0.374,0.375,0.37,0.371,1097313.1,1015375.9900001327
1684828800,0.371,0.371,0.369,0.371,861245.6,1027693.4650001327
1684843200,0.371,0.372,0.369,0.371,904296.4,1008615.5400001326
1684857600,0.371,0.372,0.369,0.372,417724,1007100.2150001327
1684872000,0.371,0.373,0.37,0.37,500356.9,999983.6550001325
1684886400,0.37,0.371,0.362,0.363,983137,1015688.4400001324
1684900800,0.363,0.369,0.362,0.366,1884404.4,1086343.0400001325
1684915200,0.366,0.369,0.365,0.365,1574203.5,1147375.9150001325
1684929600,0.365,0.366,0.36,0.362,1942169.1,1231323.0300001325
1684944000,0.362,0.364,0.36,0.363,880932.8,1214547.6050001325
1684958400,0.364,0.365,0.363,0.364,448530.4,1192827.1600001324
1684972800,0.364,0.365,0.356,0.361,1759456.1,1252301.7200001325
1684987200,0.36,0.362,0.356,0.356,1991616.7,1322648.3300001326
1685001600,0.357,0.359,0.356,0.358,616368.2,1279625.2500001325
1685016000,0.359,0.36,0.356,0.356,891567.3,1283256.3050001324
1685030400,0.356,0.361,0.355,0.358,1377725.7,1139097.7600001325
1685044800,0.359,0.36,0.357,0.358,515297.6,1099234.0450001326
1685059200,0.358,0.359,0.354,0.356,2254941.9,1173882.6100001326
1685073600,0.356,0.359,0.355,0.358,902941.8,1157422.9700001325
1685088000,0.359,0.359,0.356,0.357,928575.7,1136640.2100001327
1685102400,0.357,0.362,0.356,0.361,1241898.6,1143869.4850001326
1685116800,0.361,0.367,0.359,0.364,2038208.9,1202717.6500001324
1685131200,0.365,0.366,0.362,0.363,475960.5,1181300.8550001325
1685145600,0.363,0.367,0.362,0.366,1024544.8,1211641.8950001325
1685160000,0.366,0.367,0.363,0.364,625929.7,1217920.5350001326
1685174400,0.364,0.365,0.363,0.364,511905.8,1194358.9750001326
1685188800,0.364,0.365,0.361,0.363,467391.9,1123508.3500001326
1685203200,0.364,0.365,0.363,0.365,476128.8,1068604.6150001327
1685217600,0.365,0.368,0.365,0.367,747469,1008869.6100001326
1685232000,0.367,0.375,0.366,0.373,1556396.9,1042642.8150001324
1685246400,0.373,0.375,0.372,0.374,752966.1,1057864.6000001326
1685260800,0.374,0.379,0.367,0.375,3306262.3,1135204.9100001326
1685275200,0.376,0.38,0.375,0.376,1448899,1108069.0250001326
1685289600,0.376,0.381,0.376,0.377,1310381.8,1142769.7050001328
1685304000,0.378,0.384,0.377,0.383,1712506.2,1183816.6500001326
1685318400,0.383,0.386,0.38,0.38,1561567.6,1193008.7450001328
1685332800,0.38,0.382,0.379,0.379,841639.4,1209325.8350001327
1685347200,0.379,0.38,0.378,0.379,300594.6,1111608.4700001327
1685361600,0.379,0.381,0.376,0.378,1702536.8,1151588.2200001327
1685376000,0.377,0.38,0.376,0.379,755781.9,1142948.5300001327
1685390400,0.379,0.38,0.377,0.379,614479.1,1111577.5550001326
1685404800,0.379,0.384,0.378,0.381,490421.4,1034188.1800001326
1685419200,0.382,0.382,0.379,0.38,576852.6,1039232.7850001327
1685433600,0.38,0.384,0.379,0.382,563858.5,1016198.4700001327
1685448000,0.382,0.382,0.375,0.377,1521218.4,1060962.9050001327
1685462400,0.377,0.38,0.376,0.379,391900.4,1054962.6350001325
1685476800,0.379,0.379,0.376,0.378,556826.9,1059434.3850001325
1685491200,0.378,0.381,0.376,0.379,674525.9,1069354.2400001325
1685505600,0.379,0.381,0.373,0.376,2002291.2,1132095.3500001323
1685520000,0.376,0.376,0.373,0.374,629071,1085729.0550001324
1685534400,0.374,0.376,0.371,0.372,1041491.4,1100155.3200001323
1685548800,0.372,0.376,0.37,0.376,2380462.4,1053865.3250001322
1685563200,0.376,0.377,0.373,0.375,970526.4,1029946.6950001322
1685577600,0.375,0.376,0.363,0.365,2485357.4,1088695.475000132
1685592000,0.365,0.366,0.363,0.364,960357.7,1051088.050000132
1685606400,0.364,0.366,0.361,0.363,2095507.1,1077785.0250001322
1685620800,0.363,0.365,0.362,0.364,586777.4,1065041.925000132
1685635200,0.364,0.367,0.363,0.366,1574022.7,1128713.3300001319
1685649600,0.366,0.367,0.364,0.365,644986.4,1075835.8100001318
1685664000,0.365,0.375,0.362,0.372,2370662.7,1156579.8500001319
1685678400,0.372,0.374,0.371,0.372,1125481.4,1182129.9650001316
1685692800,0.372,0.378,0.372,0.376,2528474.1,1284032.6000001319
1685707200,0.376,0.378,0.372,0.375,1409066.5,1325643.2950001317
1685721600,0.376,0.38,0.374,0.379,759769.9,1335438.8650001318
1685736000,0.379,0.379,0.377,0.378,716428.2,1295199.3550001318
1685750400,0.379,0.379,0.375,0.377,557288.8,1303468.775000132
1685764800,0.377,0.378,0.376,0.377,646936.2,1307974.240000132
1685779200,0.376,0.377,0.375,0.376,603747.6,1304435.325000132
1685793600,0.376,0.378,0.375,0.377,364011.1,1222521.320000132
1685808000,0.377,0.378,0.373,0.374,606014.7,1221368.5050001321
1685822400,0.374,0.376,0.373,0.376,324924.5,1185540.1600001322
1685836800,0.376,0.38,0.375,0.378,985115.1,1115772.7950001324
1685851200,0.379,0.381,0.378,0.38,607906.6,1097641.8050001324
1685865600,0.38,0.382,0.38,0.38,907209.2,1018734.3950001325
1685880000,0.38,0.382,0.38,0.38,579078,999670.4100001326
1685894400,0.38,0.382,0.38,0.38,456362.6,917713.1850001325
1685908800,0.381,0.383,0.377,0.378,764568.2,926602.7250001326
1685923200,0.377,0.379,0.374,0.374,568294.9,876316.3350001326
1685937600,0.374,0.376,0.373,0.375,533301.2,870732.0750001327
1685952000,0.375,0.376,0.373,0.374,866395.7,795518.7250001326
1685966400,0.374,0.374,0.357,0.357,2610933.8,869791.3450001326
1685980800,0.356,0.359,0.347,0.351,5568800.5,1021807.6650001325
1685995200,0.351,0.353,0.348,0.352,1287960.3,1015752.3550001325
1686009600,0.351,0.352,0.347,0.351,1553471.9,1055437.4550001326
1686024000,0.351,0.353,0.35,0.352,1145682.3,1076900.1600001326
1686038400,0.352,0.355,0.352,0.353,1625415.2,1130306.4800001325
1686052800,0.353,0.353,0.337,0.35,6068322.9,1401375.8150001324
1686067200,0.35,0.357,0.35,0.355,4782572.8,1610317.0750001324
1686081600,0.356,0.357,0.352,0.353,2519482.3,1718090.6350001325
1686096000,0.353,0.353,0.344,0.345,2243005.9,1799940.195000132
1686110400,0.345,0.347,0.341,0.341,1919156.3,1879651.785000132
1686124800,0.341,0.342,0.335,0.338,3199881.2,1990390.090000132
1686139200,0.338,0.339,0.325,0.325,4695390.6,2194764.2900001323
1686153600,0.325,0.328,0.318,0.323,6406411.5,2469724.405000132
1686168000,0.323,0.324,0.32,0.322,2831819.5,2582361.4800001318
1686182400,0.322,0.326,0.32,0.322,2678841.9,2693485.4450001316
1686196800,0.322,0.329,0.321,0.328,1667647.2,2738639.395000132
1686211200,0.328,0.328,0.325,0.327,1062807.1,2763365.005000132
1686225600,0.327,0.331,0.326,0.329,2222969.7,2847848.430000132
1686240000,0.329,0.329,0.32,0.323,2327282.8,2920892.7850001315
1686254400,0.323,0.326,0.322,0.323,1014257.4,2841058.9650001316
1686268800,0.323,0.324,0.318,0.321,1882299.4,2656733.9100001315
1686283200,0.32,0.32,0.313,0.314,4395921.6,2812131.975000132
1686297600,0.314,0.319,0.312,0.318,8391976.8,3154057.220000132
1686312000,0.318,0.324,0.311,0.311,6047753.6,3399160.785000132
1686326400,0.311,0.313,0.298,0.299,11703195,3903049.7750001317
1686340800,0.3,0.303,0.29,0.295,10106259.1,4104946.5850001313
1686355200,0.295,0.295,0.274,0.276,13913611.2,4561498.505000131
1686369600,0.276,0.277,0.22,0.24,31321066.4,6001577.710000132
1686384000,0.24,0.252,0.234,0.25,25004941.7,7139674.500000131
1686398400,0.25,0.258,0.247,0.254,12594181.9,7673425.780000131
1686412800,0.254,0.268,0.252,0.266,8584464.4,7942654.940000132
1686427200,0.266,0.281,0.263,0.275,8057055.8,8110738.200000132
1686441600,0.275,0.276,0.262,0.264,5834829.9,8082159.120000133
1686456000,0.264,0.268,0.26,0.262,5462957.6,8213716.025000133
1686470400,0.262,0.275,0.259,0.27,10022913.9,8580919.625000132
1686484800,0.269,0.271,0.264,0.264,4497527.5,8722413.640000133
1686499200,0.264,0.277,0.264,0.275,5004054.5,8919476.010000134
1686513600,0.275,0.28,0.271,0.272,3925456.5,9004600.350000134
1686528000,0.272,0.275,0.266,0.268,4483241.5,9112398.285000134
1686542400,0.268,0.282,0.268,0.278,10526551.4,9588012.985000134
1686556800,0.278,0.286,0.278,0.283,6291120,9808454.015000133
1686571200,0.282,0.283,0.276,0.277,2811762.5,9729246.060000133
1686585600,0.277,0.278,0.273,0.275,2403021.2,9429798.280000132
1686600000,0.275,0.278,0.274,0.275,1825319.4,9218676.570000133
1686614400,0.275,0.28,0.274,0.278,2410801.6,8754056.900000133
1686628800,0.278,0.281,0.275,0.28,1381360.2,8317811.955000132
1686643200,0.28,0.286,0.28,0.286,4910325.6,7867647.675000133
1686657600,0.286,0.289,0.269,0.27,4767125.8,6539950.645000132
1686672000,0.27,0.276,0.27,0.275,1565545.3,5367980.8250001315
1686686400,0.275,0.276,0.273,0.275,1102841.1,4793413.785000131
1686700800,0.275,0.277,0.274,0.276,953895.9,4411885.360000132
1686715200,0.276,0.277,0.27,0.271,1462235.7,4082144.3550001318
1686729600,0.271,0.276,0.271,0.275,1788741.5,3879839.9350001314
1686744000,0.275,0.277,0.273,0.274,1786823.9,3696033.250000132
1686758400,0.274,0.275,0.269,0.271,2009557,3295365.405000132
1686772800,0.271,0.271,0.257,0.263,4579291.8,3299453.620000132
1686787200,0.263,0.266,0.26,0.262,2104491.9,3154475.4900001315
1686801600,0.262,0.264,0.254,0.256,5055611.6,3210983.245000132
1686816000,0.256,0.259,0.253,0.259,3348133.4,3154227.8400001316
1686830400,0.259,0.261,0.257,0.258,2355223.9,2745661.4650001316
1686844800,0.258,0.262,0.252,0.262,3835585.8,2622884.7550001317
1686859200,0.262,0.265,0.259,0.262,1724989.4,2568546.1000001314
1686873600,0.261,0.264,0.26,0.263,1051993.8,2500994.7300001313
1686888000,0.264,0.265,0.262,0.263,1615162.8,2490486.900000131
1686902400,0.263,0.264,0.256,0.257,5330420,2636467.820000131
1686916800,0.257,0.259,0.254,0.259,2647863,2699792.960000131
1686931200,0.259,0.267,0.258,0.264,1972947.5,2552924.055000131
1686945600,0.264,0.264,0.262,0.263,754992.3,2352317.3800001307
1686960000,0.263,0.263,0.261,0.263,1009242.9,2324502.260000131
1686974400,0.262,0.273,0.262,0.27,2941818.5,2416451.1300001307
1686988800,0.27,0.272,0.267,0.268,3460292.5,2541770.960000131
1687003200,0.268,0.269,0.265,0.266,3152309.4,2626274.645000131
1687017600,0.266,0.269,0.265,0.267,1127853.8,2593230.2600001306
1687032000,0.267,0.268,0.266,0.266,416176.3,2524697.8800001303
1687046400,0.267,0.269,0.264,0.267,1560426.1,2502241.3350001303
1687060800,0.267,0.269,0.266,0.267,1101185.5,2328336.020000131
1687075200,0.267,0.268,0.265,0.267,1017597.7,2273991.310000131
1687089600,0.267,0.268,0.266,0.267,639192.9,2053170.3750001309
1687104000,0.267,0.269,0.267,0.268,386932.5,1905110.330000131
1687118400,0.268,0.268,0.259,0.261,2549060.7,1914802.170000131
1687132800,0.261,0.262,0.258,0.261,559639,1751004.8300001312
1687147200,0.261,0.262,0.26,0.26,552301.6,1692370.4400001313
1687161600,0.26,0.261,0.258,0.26,1002403.4,1689890.9200001315
1687176000,0.261,0.262,0.258,0.259,1877579.2,1703011.7400001313
1687190400,0.259,0.263,0.257,0.261,2140996.4,1543540.5600001314
1687204800,0.261,0.264,0.26,0.263,1249255.3,1473610.1750001314
1687219200,0.263,0.265,0.26,0.26,1488868.6,1449406.2300001313
1687233600,0.26,0.261,0.256,0.259,2702644.9,1546788.8600001312
1687248000,0.259,0.26,0.257,0.26,890128.2,1540833.1250001313
1687262400,0.26,0.261,0.253,0.258,5159628,1651723.6000001314
1687276800,0.257,0.267,0.256,0.267,3507853.4,1654101.6450001313
1687291200,0.267,0.271,0.265,0.271,2775916.7,1635282.0100001313
1687305600,0.271,0.283,0.269,0.281,5385065.8,1848142.6100001312
1687320000,0.281,0.281,0.277,0.278,2375167.2,1946092.1550001316
1687334400,0.278,0.28,0.276,0.279,1857718.1,1960956.7550001317
1687348800,0.279,0.283,0.276,0.282,3772845.4,2094539.7500001315
1687363200,0.282,0.289,0.281,0.286,3004736.2,2193896.6750001316
1687377600,0.286,0.289,0.283,0.286,2148990.3,2269386.5450001312
1687392000,0.286,0.301,0.286,0.298,6272476.4,2563663.7400001315
1687406400,0.298,0.304,0.294,0.302,3960263.8,2634223.895000131
1687420800,0.302,0.305,0.291,0.293,6275683.2,2920026.1050001313
1687435200,0.293,0.298,0.287,0.29,2170543.8,3000938.215000131
1687449600,0.29,0.294,0.29,0.293,1619456.9,3031790.890000131
1687464000,0.294,0.296,0.289,0.29,1530801.3,3014451.9950001305
1687478400,0.29,0.294,0.289,0.293,1219993.3,2968401.8400001307
1687492800,0.293,0.294,0.291,0.294,979101.7,2954894.160000131
1687507200,0.294,0.296,0.292,0.293,2409132.9,3000907.375000131
