time,open,high,low,close,Volume,Volume MA
1686477600,0.2625,0.2745,0.262,0.2691,53073758,48304268.88000027
1686484800,0.2691,0.2712,0.264,0.265,22898994.5,48549305.66000027
1686492000,0.265,0.2694,0.2639,0.2642,15524001.8,47208685.70000027
1686499200,0.2642,0.272,0.2639,0.2689,22570334.6,46054147.270000264
1686506400,0.2689,0.2772,0.2683,0.2745,19798130.7,44451852.32500027
1686513600,0.2745,0.28,0.2742,0.2749,20861397.8,36009477.43500026
1686520800,0.2749,0.2759,0.2706,0.272,12116003.4,32146516.44000026
1686528000,0.2719,0.2758,0.2695,0.2723,12347459.3,28966360.61500026
1686535200,0.2724,0.2736,0.2648,0.2681,23045338.7,26565491.97500026
1686542400,0.2681,0.2752,0.2676,0.2725,22981405.1,25009706.71000026
1686549600,0.2725,0.2824,0.2718,0.2782,34288202.4,24687407.34500026
1686556800,0.2782,0.2851,0.2771,0.2831,29210917.4,22900108.34500026
1686564000,0.283,0.2865,0.2807,0.2823,21908565.5,22810931.19500026
1686571200,0.2824,0.2832,0.2777,0.2796,14065002.7,22266475.68000026
1686578400,0.2796,0.2828,0.2764,0.2772,14853695.2,21744354.57500026
1686585600,0.2772,0.2785,0.2726,0.2759,20487463,21679143.73000026
1686592800,0.2759,0.2761,0.2726,0.2745,10908460.9,21251382.56500026
1686600000,0.2745,0.2778,0.2734,0.2776,11604727.7,20850466.48000026
1686607200,0.2776,0.2783,0.2742,0.2748,6680813.9,20458284.45500026
1686614400,0.2747,0.2782,0.2731,0.2768,9210681.6,19921767.71000026
1686621600,0.2769,0.28,0.2752,0.2781,10788023.6,17807480.990000263
1686628800,0.2781,0.2795,0.2751,0.2791,8776896.4,17101376.08500026
1686636000,0.2791,0.2812,0.2781,0.2796,7201632.5,16685257.620000262
1686643200,0.2796,0.2845,0.2795,0.2817,19145327.7,16514007.27500026
1686650400,0.2817,0.2858,0.2798,0.2855,15556562.4,16301928.860000258
1686657600,0.2855,0.2896,0.2768,0.2776,32238350.7,16870776.505000256
1686664800,0.2776,0.2783,0.2684,0.2697,27017354.1,17615844.04000026
1686672000,0.2699,0.274,0.2693,0.273,8257944.6,17411368.30500026
1686679200,0.273,0.2759,0.2724,0.2752,7561129.4,16637157.84000026
1686686400,0.2751,0.2766,0.2733,0.2743,6322828.6,15804229.01500026
1686693600,0.2744,0.2752,0.2726,0.2752,4671768.2,14323407.30500026
1686700800,0.2752,0.2766,0.2737,0.2765,6257834.8,13175753.175000262
1686708000,0.2766,0.2773,0.2753,0.2761,3693207.2,12264985.26000026
1686715200,0.2761,0.2765,0.2728,0.2729,4915194.6,11807494.855000261
1686722400,0.273,0.2744,0.2698,0.2708,9034967.8,11516558.485000262
1686729600,0.2708,0.2749,0.2705,0.2748,8757507.9,10930060.730000261
1686736800,0.2748,0.2759,0.2738,0.2751,3848242.2,10577049.79500026
1686744000,0.2751,0.2773,0.2732,0.2738,6878493.3,10340738.075000262
1686751200,0.2739,0.2756,0.2724,0.2735,7112957.5,10362345.255000262
1686758400,0.2734,0.2746,0.2715,0.2739,10339950.9,10418808.720000263
1686765600,0.274,0.2752,0.2691,0.2705,17529216.1,10755868.345000263
1686772800,0.2704,0.2711,0.256,0.2623,46950387.1,12664542.880000262
1686780000,0.2624,0.2636,0.2604,0.2633,8213117.6,12715117.135000262
1686787200,0.2634,0.266,0.2596,0.2597,11577746.8,12336738.090000262
1686794400,0.2598,0.2628,0.2597,0.2624,5668564.8,11842338.210000264
1686801600,0.2624,0.2638,0.2577,0.2602,22321631.8,11346502.265000265
1686808800,0.2602,0.2602,0.2537,0.2562,17584021.6,10874835.640000265
1686816000,0.2562,0.2581,0.2533,0.2557,9779364.3,10950906.625000264
1686823200,0.2556,0.2596,0.2545,0.2591,11667602.7,11156230.290000264
1686830400,0.2591,0.2619,0.2576,0.2604,9776895.7,11328933.645000264
1686837600,0.2605,0.2613,0.2577,0.2578,7337476.7,11462219.070000265
1686844800,0.2579,0.2594,0.2525,0.2581,14992133.6,11898934.010000262
1686852000,0.2581,0.2628,0.2559,0.2618,14410147.5,12434781.025000263
1686859200,0.2618,0.2658,0.2587,0.2637,11561051.6,12767073.875000264
1686866400,0.2638,0.264,0.261,0.262,4200526.1,12525351.790000264
1686873600,0.2621,0.2631,0.2597,0.2619,5479663.1,12361459.550000262
1686880800,0.2619,0.2643,0.2614,0.2633,2834440.7,12310769.475000262
1686888000,0.2634,0.2646,0.2623,0.2641,3407341,12137211.860000262
1686895200,0.2641,0.2641,0.262,0.2628,5129639.9,12038045.980000261
1686902400,0.2629,0.2638,0.261,0.2612,5621910.5,11802143.960000262
1686909600,0.2612,0.2616,0.2557,0.2571,10373294.4,11444347.875000263
1686916800,0.2571,0.2587,0.2564,0.2569,6537040.7,9423680.555000262
1686924000,0.2569,0.2603,0.2535,0.2597,13593217.5,9692685.550000262
1686931200,0.2598,0.2647,0.2585,0.2645,16063796.1,9916988.015000261
1686938400,0.2645,0.2675,0.2619,0.2639,11050144.1,10186066.980000261
1686945600,0.2639,0.2646,0.2617,0.2621,5993503.8,9369660.58000026
1686952800,0.2621,0.2643,0.2621,0.2632,3333634.5,8657141.22500026
1686960000,0.2633,0.2635,0.2607,0.261,4272735,8381809.760000261
1686967200,0.2611,0.2629,0.261,0.2624,2673980.9,7932128.670000261
1686974400,0.2624,0.2737,0.2619,0.2722,18541666.1,8370367.190000261
1686981600,0.2722,0.2733,0.269,0.2699,13691443,8688065.505000262
1686988800,0.2699,0.2722,0.2686,0.2698,9978056.3,8437361.640000263
1686996000,0.2698,0.27,0.2673,0.2679,5993122.6,8016510.395000262
1687003200,0.2679,0.2687,0.2668,0.2678,6596174.7,7768266.550000262
1687010400,0.2678,0.2678,0.2646,0.2658,11017120,8109096.245000263
1687017600,0.2659,0.2688,0.2649,0.2673,6273099,8148768.040000263
1687024800,0.2673,0.2696,0.2668,0.2673,3851729,8199632.455000264
1687032000,0.2673,0.2674,0.2659,0.2665,2692448.2,8163887.815000263
1687039200,0.2665,0.2684,0.2664,0.2667,2472686.5,8031040.145000262
1687046400,0.2667,0.2682,0.2633,0.2681,7325951,8116242.170000263
1687053600,0.2682,0.2687,0.2662,0.2674,4345691.4,7814862.020000262
1687060800,0.2674,0.269,0.2661,0.2668,5852394.9,7780629.730000263
1687068000,0.2668,0.2686,0.265,0.2667,4703110.8,7336124.395000264
1687075200,0.2667,0.2679,0.2655,0.2678,3887911.4,6727330.160000265
1687082400,0.2678,0.268,0.2657,0.2665,3561545.7,6352900.240000265
1687089600,0.2665,0.2675,0.2657,0.2661,3384268.9,6222438.495000266
1687096800,0.2662,0.2676,0.2658,0.2674,2981079.3,6204810.735000266
1687104000,0.2675,0.2691,0.2668,0.268,4146130.1,6198480.490000265
1687111200,0.2681,0.2684,0.2669,0.2679,2369291.2,6183246.005000265
1687118400,0.2679,0.2682,0.2597,0.2606,14282567.8,5970291.090000265
1687125600,0.2606,0.2622,0.2588,0.261,8372672.1,5704352.545000264
1687132800,0.261,0.261,0.2571,0.2609,5610505.8,5485975.020000265
1687140000,0.2609,0.2621,0.2601,0.2607,3259696.8,5349303.730000265
1687147200,0.2606,0.2624,0.2606,0.262,2715006.2,5155245.305000265
1687154400,0.262,0.2625,0.26,0.2601,2874636.3,4748121.120000265
1687161600,0.26,0.2601,0.258,0.2587,4884026,4678667.470000265
1687168800,0.2586,0.2609,0.2582,0.2609,3708076.1,4671484.825000265
