time,open,high,low,close,Volume,Volume MA
1688284800,110.92,114.09,109.24,111.07,3102670,3060915.75
1688299200,111.05,112.78,107.56,111.79,3794643,3227449.95
1688313600,111.79,113.15,109.5,111.04,2287380,3298191.55
1688328000,111.02,114.03,110.72,113.57,2513598,3377570.65
1688342400,113.51,114.93,111.67,112.79,2276301,3456925.3
1688356800,112.78,113.02,111.07,112.31,1332051,3508113
1688371200,112.31,112.31,109.03,109.17,1732346,3414540.55
1688385600,109.18,110.47,108,109.35,1831557,3338889.65
1688400000,109.36,109.52,105.54,107.55,2661664,3259636.65
1688414400,107.55,107.57,105.59,107.26,1031774,2881532.5
1688428800,107.26,109.99,104.96,108.77,2128927,2521408.55
1688443200,108.77,109.07,106.67,106.91,1354988,2486003.7
1688457600,106.91,107.82,106.18,107.14,970864,2330422
1688472000,107.17,108.57,106.35,106.98,1016462,2256233
1688486400,106.97,107.85,103,105.13,1535481,2092257.85
1688500800,105.14,106.73,104.04,104.26,934628,1993513.25
1688515200,104.25,105.97,104.04,105.66,775650,1948282.55
1688529600,105.65,105.65,104.5,104.99,584377,1923045.05
1688544000,105,106.58,100,102.41,3327610,1947045.45
1688558400,102.42,103.64,98.48,99.98,3087879,1914042.5
1688572800,99.98,101.8,99.22,100.44,1354977,1826657.85
1688587200,100.47,102.97,100,102.54,929323,1683391.85
1688601600,102.53,103.98,101.54,103.7,1045793,1621312.5
1688616000,103.68,105.52,102.14,103.81,2107123,1600988.75
1688630400,103.84,105.9,100.9,102.4,2405301,1607438.75
1688644800,102.4,102.48,95.95,98.57,4556283,1768650.35
1688659200,98.56,99.09,96.69,97.62,1165013,1740283.7
1688673600,97.61,98.33,95.04,95.22,1446104,1721011.05
1688688000,95.21,97.46,94.01,97.18,2009554,1688405.55
1688702400,97.16,97.55,95.7,96.05,1315374,1702585.55
1688716800,96.03,96.83,95.41,95.75,974552,1644866.8
1688731200,95.75,97.93,95.04,97.63,2208205,1687527.65
1688745600,97.63,98.33,96.5,97.41,1331139,1705541.4
1688760000,97.4,98.56,96.85,98.19,612271,1685331.85
1688774400,98.18,98.44,97.01,97.17,816911,1649403.35
1688788800,97.17,97.49,96.54,97.15,455065,1625425.2
1688803200,97.15,98.23,96.9,97.18,615550,1617420.2
1688817600,97.19,98.26,96.75,97.83,796300,1628016.35
1688832000,97.83,98.19,96.82,97.25,641443,1493708
1688846400,97.27,97.9,96.88,97.78,378034,1358215.75
1688860800,97.77,98.37,97.09,97.2,499308,1315432.3
1688875200,97.18,97.44,96.25,96.67,450004,1291466.35
1688889600,96.67,97.01,96.41,96.58,275569,1252955.15
1688904000,96.58,97.1,95.26,96.94,826693,1188933.65
1688918400,96.93,97.27,96.56,96.7,323956,1084866.4
1688932800,96.71,96.71,94.3,95.07,835934,898848.95
1688947200,95.08,95.16,91.5,93.83,3553634,1018280
1688961600,93.86,93.94,92.78,93.36,1367692,1014359.4
1688976000,93.37,95.24,92.15,94.96,2225309,1025147.15
1688990400,94.96,95.7,94.24,95.21,1735362,1046146.55
1689004800,95.19,97.16,94.67,96.95,1162982,1055568.05
1689019200,96.96,97.8,95.74,96.7,1342077,1012261.65
1689033600,96.68,97.9,96.1,96.97,959774,993693.4
1689048000,96.97,98.33,96.68,97.89,806043,1003382
1689062400,97.9,98.14,97.1,97.46,695488,997310.85
1689076800,97.44,97.85,95.72,96.56,1129669,1031041.05
1689091200,96.57,96.77,95.52,95.93,626681,1031597.6
1689105600,95.93,96.97,95.68,96.72,452049,1014385.05
1689120000,96.73,97.52,96.5,97,561247,1010375.25
1689134400,97,97.79,96.36,97.32,465459,1014746.5
1689148800,97.34,97.37,96.39,96.88,528568,1016209.5
1689163200,96.88,97.76,95.39,95.58,2344563,1110937.45
1689177600,95.59,95.94,94.13,94.91,1420158,1168166.9
1689192000,94.93,96.46,94.79,96.19,454012,1149532.85
1689206400,96.2,96.51,95.59,96.12,745766,1170623.35
1689220800,96.09,100.76,95.87,100.24,1961263,1226889.8
1689235200,100.23,101.49,99.75,100.85,1447373,1121576.75
1689249600,100.86,103.76,99.16,102.48,3797177,1243051
1689264000,102.5,104.46,100.8,102.76,4581544,1360862.75
1689278400,102.76,102.92,99.08,101.92,1957365,1371962.9
1689292800,101.91,103.7,101.15,101.58,1859442,1406785.9
1689307200,101.56,101.97,100.42,100.8,1197359,1399550
1689321600,100.82,101.5,99.64,100.96,1295738,1416348.2
1689336000,100.95,101.48,99.57,101.01,1147005,1433396.3
1689350400,101,102.1,91.34,93.31,7466246,1771934.2
1689364800,93.3,95.23,92.44,95.14,1541829,1792542.2
1689379200,95.14,95.79,94.28,94.62,777259,1800071.1
1689393600,94.62,95.46,94.31,95.28,546399,1804788.6
1689408000,95.28,95.65,94.76,94.76,467758,1800114.15
1689422400,94.76,95.2,93.64,94.37,661095,1809895.95
1689436800,94.38,95.07,93.78,94.67,404080,1803671.55
1689451200,94.65,94.76,94.07,94.76,233043,1698095.55
1689465600,94.76,95.31,92.9,94.24,1542037,1704189.5
1689480000,94.25,95.01,94.13,94.76,348100,1698893.9
1689494400,94.76,95.05,94.26,94.53,307404,1676975.8
1689508800,94.53,95.28,94.27,94.81,451616,1601493.45
1689523200,94.82,95.21,93.39,93.69,758916,1567070.6
1689537600,93.69,94.57,91.75,92.86,1137057,1434064.6
1689552000,92.86,93.57,91.9,93.28,1067885,1258381.65
1689566400,93.28,93.33,92.61,92.98,535107,1187268.75
1689580800,92.99,93.41,89.03,91.06,2535381,1221065.7
1689595200,91.05,92.33,90.02,91.56,1030990,1212747.25
1689609600,91.57,92.15,89.76,91.27,1591780,1227549.35
1689624000,91.27,92.64,91.18,92.19,441123,1192255.25
1689638400,92.19,92.91,91.89,92.15,374457,837665.8
1689652800,92.15,92.38,90.31,90.96,948654,808007.05
1689667200,90.96,92.03,90.51,90.7,1646011,851444.65
1689681600,90.71,91.66,90.24,91.19,1069894,877619.4
1689696000,91.18,91.62,89.26,90.53,877732,898118.1
1689710400,90.53,91.59,90.23,91.52,333035,881715.1
1689724800,91.53,94.19,91.38,93.48,1076134,915317.8
1689739200,93.49,93.96,92.77,93.05,599193,933625.3
1689753600,93.04,93.21,92.04,93.14,585417,885794.3
1689768000,93.14,93.48,91.53,92.59,833548,910066.7
1689782400,92.58,93.17,91.89,92.87,435206,916456.8
1689796800,92.89,92.89,91.64,91.96,473106,917531.3
1689811200,91.97,92.64,91.65,92.07,638290,911500
1689825600,92.08,93.62,91.8,93.37,524748,880884.55
1689840000,93.37,94.95,93.31,94.31,1181674,886574
1689854400,94.31,94.48,91.3,92.12,1420711,930854.2
1689868800,92.11,92.41,91.44,92.01,1166807,862425.5
1689883200,92.01,92.71,91.44,92.37,765878,849169.9
1689897600,92.35,93.02,91.66,92.58,1199144,829538.1
1689912000,92.58,92.65,91.75,91.91,472916,831127.75
1689926400,91.93,92.53,91.83,92.21,666061,845707.95
1689940800,92.22,92.6,92.01,92.49,381077,817329.1
1689955200,92.49,94.72,92.32,93.94,1726108,821333.95
1689969600,93.94,94.46,93.67,94.02,407340,788206.25
1689984000,94.03,96.41,94.02,94.66,1258043,807221.8
1689998400,94.66,94.86,93.99,94.49,574036,819271.85
1690012800,94.48,94.56,92.96,93.65,709253,800927.8
1690027200,93.66,94.01,93.22,93.88,351608,788548.55
1690041600,93.87,93.94,93.04,93.28,382684,778411.9
1690056000,93.27,93.41,91.1,92.06,873368,780402.9
1690070400,92.06,92.56,91.48,92.48,366868,776986
1690084800,92.47,92.97,92.34,92.49,295776,768119.5
1690099200,92.49,92.86,92.35,92.49,195095,745959.75
1690113600,92.49,92.6,91.96,92.08,333578,736401.25
1690128000,92.09,93.63,92.06,92.79,613983,708016.7
1690142400,92.79,93.35,92.12,93.15,462514,660106.85
1690156800,93.12,93.38,91.9,92.02,1666305,685081.75
1690171200,92.01,92.86,91.26,92.46,892360,691405.85
1690185600,92.47,92.51,86.72,89.03,2835469,773222.1
1690200000,89.02,89.47,87.28,88.77,2344648,866808.7
1690214400,88.79,89.3,88.39,88.81,508580,858934.65
1690228800,88.82,89.27,88.37,89.1,463018,863031.7
1690243200,89.1,89.81,88.7,89.02,590201,806236.35
1690257600,89.03,89.4,88.74,89.1,374987,804618.7
1690272000,89.11,89.73,88.91,89.21,363313,759882.2
1690286400,89.22,90.13,88.8,88.98,791189,770739.85
1690300800,88.98,89.61,88.52,88.83,542492,762401.8
1690315200,88.84,89.93,88.73,89.41,611384,775390.6
1690329600,89.41,90.08,89.03,89.59,885816,800547.2
1690344000,89.59,89.77,89.33,89.67,562692,785013.4
1690358400,89.67,89.81,89.04,89.1,651675,799253.75
1690372800,89.11,89.73,89.05,89.58,780025,823466.2
1690387200,89.58,89.97,88.48,89.39,1433418,885382.35
1690401600,89.4,91.1,89.28,90.58,1093395,923373.2
1690416000,90.56,91.93,90.32,91.02,907643,938056.2
1690430400,91.01,91.45,90.58,90.72,479691,938915.05
1690444800,90.72,91.67,90.54,91.18,623831,886791.35
1690459200,91.19,91.25,90.17,90.59,640676,874207.15
1690473600,90.57,90.82,89.56,90.22,484093,756638.35
1690488000,90.22,90.53,89.93,90.52,321439,655477.9
1690502400,90.52,91.17,90.48,90.96,666107,663354.25
1690516800,90.96,91.43,90.61,90.76,860306,683218.65
1690531200,90.77,91.41,90.63,91.08,495156,678466.4
1690545600,91.08,91.91,90.89,91.6,899798,704706.95
1690560000,91.61,91.91,90.73,91.27,478412,710461.9
1690574400,91.27,91.48,91.13,91.42,155422,678673.55
1690588800,91.42,91.64,90.94,91.14,331202,668109.05
1690603200,91.14,91.31,90.92,91.01,326210,653850.35
1690617600,91.01,91.17,90.83,90.89,411201,630119.6
1690632000,90.89,91.19,90.87,91.11,669217,635445.85
1690646400,91.12,91.47,90.99,91.45,559182,630821.2
1690660800,91.46,94.85,91.38,94.29,1892380,686438.95
1690675200,94.29,95.94,93.63,94.61,2282831,728909.6
1690689600,94.6,95.13,93.99,94.42,508242,699651.95
1690704000,94.41,95.04,94.14,94.52,494901,679014.85
1690718400,94.53,95.06,94.15,94.57,669634,688512
1690732800,94.56,96.12,91.65,92.98,2648335,789737.2
1690747200,92.97,94.31,90.61,94,2200673,867737.05
1690761600,93.99,95.02,93.74,94.02,1089697,898017.25
1690776000,94.04,94.11,92.25,93.22,1183074,941099
1690790400,93.21,93.95,93.2,93.74,419853,928786.3
1690804800,93.74,93.94,91.62,92.05,1329420,952242
1690819200,92.06,93.3,91.1,91.67,1218291,988398.75
1690833600,91.67,92.38,91.04,92.22,514389,969128.3
1690848000,92.23,92.76,87.72,89.99,2289479,1059681.65
1690862400,89.98,90.64,89.59,90.28,1057731,1104797.1
1690876800,90.28,90.7,90.1,90.13,493293,1112901.65
1690891200,90.14,94.04,89.8,93.02,3186695,1255925.9
1690905600,93.02,93.71,92.46,93.51,1612824,1316007.05
1690920000,93.52,93.91,92.82,93.88,994610,1332276.7
1690934400,93.86,94.52,92.1,92.7,1319291,1370282.15
1690948800,92.69,92.76,90.49,90.77,805877,1315957
1690963200,90.78,91.43,90.02,91.23,978272,1250729.05
1690977600,91.23,91.23,88.17,88.96,2741939,1362413.9
1690992000,88.95,89.15,85.23,87.68,3087642,1492050.95
1691006400,87.66,87.94,87,87.47,638312,1490484.85
1691020800,87.47,88.29,87.18,87.37,571806,1386658.4
