time,open,high,low,close,Volume
1668931200,0.329,0.329,0.319,0.319,2176388.7
1668945600,0.319,0.32,0.317,0.319,1982962.7
1668960000,0.319,0.32,0.315,0.319,2036075
1668974400,0.319,0.319,0.309,0.312,2433096.2
1668988800,0.312,0.313,0.301,0.305,4618853.6
1669003200,0.305,0.309,0.301,0.304,2449694.4
1669017600,0.304,0.306,0.302,0.305,2907224.9
1669032000,0.305,0.312,0.304,0.31,2355698.8
1669046400,0.31,0.31,0.296,0.299,3264294.6
1669060800,0.299,0.306,0.298,0.304,3989174.1
1669075200,0.304,0.308,0.304,0.306,2037718.8
1669089600,0.306,0.307,0.3,0.302,1653247
1669104000,0.302,0.302,0.298,0.299,2195419.1
1669118400,0.3,0.316,0.298,0.315,4491970.3
1669132800,0.315,0.315,0.308,0.311,2020896.7
1669147200,0.311,0.313,0.308,0.312,2060993.8
1669161600,0.312,0.317,0.309,0.316,2543822.4
1669176000,0.316,0.319,0.315,0.316,3148921.3
1669190400,0.317,0.318,0.313,0.315,3493486.5
1669204800,0.316,0.316,0.31,0.312,2940679.4
1669219200,0.312,0.32,0.311,0.317,1997321.5
1669233600,0.317,0.32,0.315,0.318,1123234
1669248000,0.318,0.321,0.316,0.32,2023203.7
1669262400,0.32,0.32,0.316,0.317,1659701.4
1669276800,0.317,0.317,0.311,0.313,2566248
1669291200,0.313,0.316,0.312,0.315,2541019.1
1669305600,0.315,0.316,0.313,0.316,1530641.5
1669320000,0.316,0.317,0.313,0.316,1859158.5
1669334400,0.316,0.316,0.307,0.309,2314053.8
1669348800,0.309,0.313,0.308,0.312,1975589
1669363200,0.312,0.316,0.31,0.314,2800990.7
1669377600,0.314,0.316,0.312,0.315,1154946.9
1669392000,0.315,0.316,0.312,0.316,1154377.4
1669406400,0.316,0.317,0.314,0.314,976012.2
1669420800,0.315,0.322,0.314,0.318,1995399.5
1669435200,0.319,0.319,0.317,0.318,1508539.1
1669449600,0.318,0.321,0.318,0.319,1385257.4
1669464000,0.32,0.322,0.315,0.316,2235285.1
1669478400,0.316,0.32,0.313,0.314,3470199.1
1669492800,0.315,0.315,0.312,0.314,1150927.4
1669507200,0.314,0.316,0.313,0.315,986669.7
1669521600,0.315,0.318,0.315,0.317,697333.9
1669536000,0.317,0.319,0.316,0.317,1523089.6
1669550400,0.317,0.319,0.316,0.318,939379.2
1669564800,0.318,0.319,0.316,0.317,1171043.6
1669579200,0.317,0.319,0.311,0.313,1526800.3
1669593600,0.312,0.314,0.3,0.305,4595269.9
1669608000,0.304,0.307,0.303,0.306,1561841.4
1669622400,0.306,0.307,0.304,0.305,1541431.7
1669636800,0.305,0.308,0.303,0.304,2931758.4
1669651200,0.304,0.311,0.302,0.306,2482641.2
1669665600,0.306,0.307,0.305,0.306,1448561.2
1669680000,0.306,0.309,0.304,0.308,2265807
1669694400,0.308,0.312,0.308,0.311,1669229.3
1669708800,0.311,0.312,0.31,0.311,1161738.4
1669723200,0.311,0.311,0.307,0.309,1475877.9
1669737600,0.309,0.309,0.306,0.308,1303469.7
1669752000,0.308,0.311,0.308,0.309,1243483.7
1669766400,0.309,0.319,0.308,0.313,2731861.8
1669780800,0.313,0.315,0.313,0.315,1131303.3
1669795200,0.315,0.316,0.313,0.315,894783.7
1669809600,0.315,0.315,0.312,0.315,4798635.8
1669824000,0.315,0.316,0.309,0.315,2496834.5
1669838400,0.314,0.321,0.314,0.319,2013377.9
1669852800,0.319,0.32,0.315,0.317,1108414.4
1669867200,0.317,0.318,0.315,0.315,777956.3
1669881600,0.315,0.318,0.314,0.318,1229874.4
1669896000,0.317,0.32,0.313,0.316,1710692
1669910400,0.316,0.317,0.314,0.315,857273.3
1669924800,0.315,0.316,0.313,0.315,909735.3
1669939200,0.315,0.316,0.311,0.313,1680319.4
1669953600,0.312,0.314,0.311,0.314,1637693.9
1669968000,0.314,0.319,0.314,0.317,1384266.4
1669982400,0.317,0.318,0.313,0.317,2004597.7
1669996800,0.317,0.32,0.316,0.32,1330046.4
1670011200,0.32,0.32,0.318,0.319,1033364.8
1670025600,0.319,0.321,0.318,0.32,2147578.3
1670040000,0.319,0.32,0.317,0.318,2982227.9
1670054400,0.318,0.326,0.318,0.323,4329662.2
1670068800,0.324,0.326,0.322,0.326,2948237.4
1670083200,0.326,0.326,0.323,0.324,1083663.9
1670097600,0.324,0.324,0.317,0.32,1674704.8
1670112000,0.32,0.324,0.32,0.322,1516324.9
1670126400,0.322,0.323,0.319,0.32,3951162.4
1670140800,0.319,0.321,0.319,0.319,1080380.8
1670155200,0.32,0.323,0.316,0.322,4073312.2
