time,open,high,low,close,Volume,Volume MA
1631340000,2.43275753,2.75323658,2.3776237,2.71101849,34956850.05489716,22467829.65655489
1631361600,2.71186051,2.80052717,2.66955432,2.71228859,38948409.65007025,23617789.34699138
1631383200,2.71228324,2.75521357,2.5419371,2.63671869,17904120.38745546,23937824.741105057
1631404800,2.63725602,2.64144954,2.51053831,2.55363346,14767718.98735701,24152743.08688667
1631426400,2.55399711,2.64487275,2.52865639,2.60697329,11937439.66671455,21987902.44448482
1631448000,2.60828906,2.73446858,2.59257223,2.72600708,16969590.70695258,19116040.647760555
1631469600,2.72559924,2.78985334,2.50121903,2.58094031,30202018.23896385,18912010.473477412
1631491200,2.58151284,2.59309965,2.40098954,2.44940236,17561206.3332995,18701439.533893675
1631512800,2.44908084,2.44952849,2.30755549,2.43420871,15610318.18090814,17562931.35834389
1631534400,2.43482871,2.51674489,2.32065315,2.43224336,16798191.54589552,17346549.827927817
1631556000,2.43222796,2.46115347,2.39257594,2.4027634,7010422.1383417,16615902.943323463
1631577600,2.40283702,2.42756633,2.37372829,2.39085637,6286311.90377588,16253457.40719061
1631599200,2.39040363,2.43247717,2.37654718,2.38435851,8568549.9803132,15455098.573839948
1631620800,2.38397087,2.43813495,2.3204705,2.39813149,15742635.20175787,15618321.728892311
1631642400,2.39843041,2.41020134,2.35399924,2.39797923,10118213.16100932,15759385.364402946
1631664000,2.3973398,2.40859239,2.36315711,2.38528098,6418288.65195064,15779416.482910192
1631685600,2.38519025,2.42801443,2.35749523,2.39851045,9991106.75886253,15731241.414965197
1631707200,2.3987073,2.58721557,2.39209519,2.52968116,27505327.58831052,16093367.765483549
1631728800,2.53052211,2.5395593,2.47240659,2.50621934,9046483.96089546,16125282.81192337
1631750400,2.50616821,2.51184372,2.41793501,2.47242627,5800664.92505009,16107193.401139176
1631772000,2.47273263,2.52495021,2.45351226,2.46860911,7671922.08830589,14742947.00280961
1631793600,2.46839616,2.48590289,2.38762449,2.41911274,11056372.11965576,13348345.126288887
1631815200,2.41893312,2.43560009,2.38097073,2.41791036,6164516.94483176,12761364.9541577
1631836800,2.4183879,2.44210422,2.40002153,2.42745403,3793560.4021655,12212657.024898125
1631858400,2.42698872,2.43284524,2.34919504,2.3633044,7318302.26021113,11981700.154572954
1631880000,2.36320135,2.38995731,2.34195034,2.35592222,7224422.99146473,11494441.768798564
1631901600,2.3555294,2.37000549,2.31312878,2.34894683,4846641.11879946,10226672.912790343
1631923200,2.3489919,2.41542488,2.31118339,2.40801043,5752462.53410165,9636235.72283045
1631944800,2.40745582,2.43812198,2.38841514,2.3923128,8275048.64233664,9269472.245901875
1631966400,2.39271092,2.40856271,2.35915676,2.38109332,5642878.10386655,8711706.573800426
1631988000,2.38060985,2.38439042,2.35528449,2.37179206,3210850.41433256,8521727.98759997
1632009600,2.37173438,2.37335235,2.33648535,2.36607652,2901279.30055716,8352476.357439036
1632031200,2.3660461,2.40060319,2.31884724,2.32654179,4782595.07385685,8163178.612116218
1632052800,2.32586868,2.37659133,2.31897589,2.34187293,6010901.77392859,7676591.940724753
1632074400,2.34187293,2.35888675,2.258928,2.28261598,12010852.78366828,7771223.921857702
1632096000,2.28324648,2.29291079,2.11543633,2.18853734,17317659.74692984,8316192.476606661
1632117600,2.18736606,2.1923779,2.01949653,2.05867611,14347203.47453264,8533997.312390167
1632139200,2.05828911,2.18426595,1.97328169,2.16113086,22958918.68424192,8306676.867186737
1632160800,2.1611419,2.16890872,2.02568396,2.08005706,14874961.55097366,8598100.746690648
1632182400,2.07965385,2.154551,1.95247836,2.07522132,26851348.03681842,9650634.902279064
1632204000,2.07589594,2.17892201,2.0753562,2.1747567,14922274.9591033,10013152.545818934
1632225600,2.17431708,2.22949764,2.04524854,2.05440153,21977667.6315091,10559217.3214116
1632247200,2.05450812,2.10721759,1.90287751,1.98505238,16652904.04460013,11083636.676400019
1632268800,1.98465784,2.08005786,1.96734407,2.05771864,9980886.30045258,11393002.971314374
1632290400,2.05885447,2.15909229,2.0354746,2.09150385,13336767.53111112,11693926.234859373
1632312000,2.09041538,2.21649873,2.08546814,2.18350955,12034870.20870536,11934448.595721405
1632333600,2.18293725,2.26800574,2.17295433,2.25807282,11287993.19385253,12256516.199474059
1632355200,2.25866912,2.30176825,2.19865443,2.25959834,8956710.97727185,12416728.62163257
1632376800,2.25907158,2.27992392,2.18535671,2.20003031,7438639.33669123,12374908.1563503
1632398400,2.19980981,2.27246725,2.18170803,2.2611241,6768853.55187498,12431206.92875072
1632420000,2.26200141,2.34755563,2.23858287,2.32835946,8949207.58607167,12718124.787337676
1632441600,2.32865606,2.34794512,2.24372623,2.26469926,7171990.80110091,12931660.362364862
1632463200,2.2647063,2.32939663,2.06214772,2.27043434,79158691.78828602,16650465.198086321
1632484800,2.26891316,2.27208359,2.13721686,2.21392107,25601343.43615474,17629987.28119763
1632506400,2.2144433,2.32163653,2.21034066,2.2789064,11358210.52696428,17597355.16836243
