time,open,high,low,close,Volume,Volume MA
1696206600,0.2643,0.2646,0.2637,0.2644,838587.2,1296272.9850000003
1696207500,0.2643,0.2648,0.2635,0.2639,919664.7,1332434.3400000003
1696208400,0.264,0.2648,0.2638,0.2639,1027576.9,1319887.4100000001
1696209300,0.2639,0.2643,0.2634,0.2641,695152.5,1327753.7000000002
1696210200,0.2641,0.2648,0.264,0.2647,392181.1,1328533.8300000003
1696211100,0.2648,0.266,0.2647,0.2658,1453682.6,1360372.9400000004
1696212000,0.2659,0.2659,0.2653,0.2657,1045679.6,1396071.5500000005
1696212900,0.2656,0.266,0.2655,0.2656,775451.5,1425340.1000000006
1696213800,0.2657,0.2658,0.2651,0.2657,394643.6,1436529.2500000005
1696214700,0.2656,0.2658,0.265,0.2651,709129.1,1437384.1850000008
1696215600,0.2652,0.2653,0.2648,0.2648,343587.3,1429015.7350000008
1696216500,0.2649,0.2652,0.2647,0.2652,201008.7,1045453.4400000008
1696217400,0.2651,0.2661,0.2646,0.2655,940557.5,1002287.0000000007
1696218300,0.2654,0.2655,0.2644,0.2647,734468.4,969711.6500000007
1696219200,0.2647,0.265,0.2644,0.2645,680524.4,928084.0950000007
1696220100,0.2645,0.2647,0.2642,0.2643,427213.3,896734.0200000007
1696221000,0.2642,0.2646,0.2636,0.2637,813567.2,830347.8750000007
1696221900,0.2636,0.2645,0.2636,0.2639,574140,833784.6500000006
1696222800,0.264,0.2641,0.2634,0.2639,327639.4,780022.1450000007
1696223700,0.264,0.265,0.2639,0.2649,700059.3,699725.7150000007
1696224600,0.2649,0.2649,0.2626,0.2633,1748654.2,745229.0650000006
1696225500,0.2633,0.2636,0.263,0.2631,401847.1,719338.1850000008
1696226400,0.2631,0.2633,0.2628,0.2632,269909.8,681454.8300000008
1696227300,0.2633,0.2638,0.2629,0.2637,642354.6,678814.9350000008
1696228200,0.2638,0.2643,0.2635,0.2642,491742.4,683793.0000000007
1696229100,0.2642,0.2644,0.2639,0.2643,524881.4,637352.9400000008
1696230000,0.2643,0.2643,0.2635,0.2639,805653,625351.6100000008
1696230900,0.2639,0.2646,0.2638,0.2641,684874.3,620822.7500000008
1696231800,0.2642,0.2655,0.264,0.265,1305069.9,666344.0650000009
1696232700,0.2651,0.2665,0.2648,0.2665,1915305.2,726652.8700000008
1696233600,0.2665,0.267,0.2654,0.2667,1872684.5,803107.7300000008
1696234500,0.2666,0.2679,0.2666,0.2679,1047560.5,845435.3200000009
1696235400,0.2678,0.2683,0.2663,0.2666,1611438.8,878979.3850000009
1696236300,0.2666,0.2667,0.266,0.266,592652.9,871888.6100000009
1696237200,0.2661,0.2668,0.2659,0.2667,603514.1,868038.0950000009
1696238100,0.2668,0.2686,0.2661,0.2685,2224409.6,957897.9100000008
1696239000,0.2686,0.2696,0.2678,0.2685,3701098.4,1102274.470000001
1696239900,0.2686,0.2692,0.2684,0.2686,654463.8,1106290.6600000008
1696240800,0.2686,0.2692,0.2686,0.269,813121.2,1130564.750000001
1696241700,0.269,0.269,0.2683,0.2689,955757,1143349.635000001
1696242600,0.2689,0.269,0.2682,0.2684,831360.5,1097484.950000001
1696243500,0.2684,0.2685,0.2676,0.2678,873898.2,1121087.5050000008
1696244400,0.2678,0.2682,0.2668,0.2673,2007551.4,1207969.5850000007
1696245300,0.2672,0.2682,0.2672,0.2679,569712.9,1204337.5000000005
1696246200,0.268,0.2681,0.2668,0.267,988710,1229185.8800000006
1696247100,0.267,0.2673,0.2666,0.267,471150.5,1226499.3350000007
1696248000,0.267,0.2677,0.2669,0.2674,366847.6,1204559.0650000009
1696248900,0.2674,0.2678,0.267,0.2677,845586.6,1212594.6800000009
1696249800,0.2678,0.2681,0.2672,0.2675,921581.1,1193420.240000001
1696250700,0.2676,0.2678,0.2672,0.2674,635850.5,1129447.505000001
1696251600,0.2673,0.2676,0.267,0.2676,639818.7,1067804.215000001
1696252500,0.2675,0.2679,0.267,0.2671,738369.6,1052344.670000001
1696253400,0.2671,0.2684,0.2665,0.2683,2494602.7,1096502.865000001
1696254300,0.2682,0.2684,0.2671,0.2683,1247120.7,1129226.255000001
1696255200,0.2684,0.2685,0.2657,0.266,2578371.8,1227969.140000001
1696256100,0.2659,0.2666,0.2652,0.2662,1678175.7,1200657.4450000008
1696257000,0.2661,0.267,0.2659,0.2665,777363.6,1054470.705000001
1696257900,0.2666,0.2667,0.2658,0.2664,437555.5,1043625.290000001
1696258800,0.2664,0.2669,0.2659,0.2665,459792.4,1025958.8500000009
1696259700,0.2665,0.2667,0.2657,0.2666,734603.3,1014901.165000001
1696260600,0.2667,0.2667,0.2655,0.2655,492030.1,997934.6450000011
1696261500,0.2655,0.2655,0.2633,0.2639,2301331.2,1069306.295000001
1696262400,0.2639,0.2647,0.2631,0.2647,1417247,1039791.0750000011
1696263300,0.2647,0.2651,0.2642,0.2649,722985.5,1047454.7050000012
1696264200,0.2649,0.2651,0.2644,0.2646,380149.4,1017026.6750000011
1696265100,0.2646,0.2651,0.2637,0.264,653203.6,1026129.3300000012
1696266000,0.2641,0.2644,0.2635,0.264,457968.8,1030685.3900000012
1696266900,0.264,0.2646,0.264,0.2644,425792.5,1009695.6850000011
1696267800,0.2643,0.2651,0.2642,0.2651,624073.1,994820.2850000011
1696268700,0.2651,0.2652,0.2647,0.2648,216657.5,973860.635000001
1696269600,0.2647,0.2648,0.2642,0.2645,341156.5,958927.5250000011
1696270500,0.2645,0.2645,0.2635,0.2636,323309.6,938174.5250000011
1696271400,0.2637,0.2639,0.2585,0.2601,6782039.3,1152546.3550000011
1696272300,0.26,0.2617,0.2595,0.2603,1894711.7,1184925.9050000012
1696273200,0.2603,0.2607,0.2593,0.2603,2022338.9,1157124.2600000012
1696274100,0.2603,0.2611,0.2601,0.2607,483303.7,1097380.660000001
1696275000,0.2608,0.2612,0.2604,0.2604,365717.3,1076798.3450000011
1696275900,0.2605,0.2618,0.2605,0.2617,632398.9,1086540.515000001
1696276800,0.2618,0.2618,0.2605,0.2608,406712.7,1083886.530000001
1696277700,0.2608,0.2609,0.2602,0.2605,334547.5,1063883.740000001
1696278600,0.2605,0.2605,0.26,0.2601,211778.6,1049871.165000001
1696279500,0.2601,0.2604,0.2598,0.2603,456099.8,957609.595000001
1696280400,0.2603,0.2609,0.2598,0.2599,744597.6,923977.1250000012
1696281300,0.2599,0.261,0.2598,0.261,424749.8,909065.3400000011
1696282200,0.261,0.2612,0.259,0.259,1543623.3,967239.0350000013
1696283100,0.2591,0.2597,0.258,0.2595,1546007.1,1011879.2100000012
1696284000,0.2595,0.2596,0.259,0.259,303528.7,1004157.2050000012
1696284900,0.259,0.2593,0.2585,0.2589,728204.3,1019277.7950000012
1696285800,0.259,0.259,0.2574,0.2582,1421210.6,1059134.6700000013
1696286700,0.2582,0.2588,0.2579,0.2588,339835.4,1065293.565000001
1696287600,0.2588,0.2591,0.2583,0.2584,501499.6,1073310.7200000011
1696288500,0.2584,0.259,0.2584,0.2588,136893.1,1063989.8950000012
1696289400,0.2588,0.2596,0.2588,0.2595,455086.3,747642.2450000013
1696290300,0.2595,0.2599,0.259,0.2591,481567.6,676985.0400000012
1696291200,0.2591,0.2595,0.2588,0.2589,302174.2,590976.8050000012
1696292100,0.259,0.2592,0.2587,0.2588,205706.8,577096.9600000012
1696293000,0.2589,0.2591,0.2581,0.2588,562531.5,586937.6700000012
1696293900,0.2588,0.2592,0.2584,0.2592,673033.5,588969.4000000012
1696294800,0.2591,0.2599,0.2591,0.2599,734493.4,605358.4350000012
1696295700,0.2599,0.2605,0.2595,0.2604,293667.1,603314.4150000012
1696296600,0.2604,0.2614,0.2602,0.2613,436975.4,614574.2550000013
1696297500,0.2614,0.262,0.2611,0.2618,392029.7,611370.7500000012
1696298400,0.2619,0.2626,0.2618,0.2625,474891.8,597885.4600000012
1696299300,0.2625,0.2629,0.2619,0.2624,574291.1,605362.5250000012
1696300200,0.2624,0.2624,0.2619,0.2621,314429.3,543902.8250000012
1696301100,0.262,0.2629,0.2618,0.2629,392072.6,486206.1000000012
1696302000,0.2629,0.2634,0.2622,0.2632,877348.2,514897.07500000123
1696302900,0.2633,0.2635,0.2621,0.2621,832303.4,520102.0300000012
1696303800,0.2622,0.2632,0.262,0.2629,934739.3,495778.46500000125
1696304700,0.2629,0.2629,0.2622,0.2629,240678.5,490820.6200000012
1696305600,0.2628,0.2639,0.2627,0.2639,1139979.3,522744.60500000126
1696306500,0.2639,0.264,0.2627,0.263,595894.2,545694.6600000013
1696307400,0.2629,0.2633,0.2628,0.2629,319563,538918.4950000013
1696308300,0.2629,0.2635,0.2627,0.2632,950699.1,562375.0700000012
1696309200,0.2632,0.2633,0.2626,0.2628,232924,558912.5600000012
1696310100,0.2627,0.2631,0.2613,0.2614,844662.5,590860.3450000013
1696311000,0.2615,0.2623,0.2614,0.2622,295524.9,577510.0150000013
1696311900,0.2622,0.2622,0.2609,0.261,538891.8,570802.9300000013
1696312800,0.261,0.2616,0.2609,0.2615,195759,543866.2100000012
1696313700,0.2615,0.2619,0.2609,0.2617,309310.6,544648.3850000013
1696314600,0.2617,0.2627,0.2615,0.2623,222163.6,533907.7950000012
1696315500,0.2623,0.2633,0.2623,0.2626,367483.8,532680.5000000013
1696316400,0.2627,0.2638,0.2626,0.2636,452446.4,531558.2300000013
1696317300,0.2636,0.2636,0.2628,0.2628,333074.2,519497.3850000013
1696318200,0.2628,0.2628,0.2618,0.2627,367990.8,522175.46000000124
1696319100,0.2627,0.2629,0.2625,0.2628,243543.1,514748.98500000127
1696320000,0.2628,0.2639,0.2628,0.2638,392717.3,490517.44000000134
1696320900,0.2638,0.2646,0.2637,0.2641,510011.6,474402.8500000013
1696321800,0.2642,0.2642,0.2634,0.2637,330229.6,444177.3650000013
1696322700,0.2637,0.2637,0.2626,0.2627,486215.8,456454.23000000126
1696323600,0.2628,0.2632,0.2624,0.2626,698752.7,434392.9000000013
1696324500,0.2626,0.2628,0.262,0.2622,383018,423749.09000000136
1696325400,0.2622,0.2624,0.2618,0.2619,371837.7,426362.8250000013
1696326300,0.2619,0.2622,0.2616,0.2616,343345.6,395995.1500000013
1696327200,0.2616,0.2622,0.2612,0.2613,315953,400146.6000000013
1696328100,0.2614,0.2616,0.261,0.2614,350700.1,375448.48000000126
1696329000,0.2614,0.2616,0.2612,0.2612,467073.8,384025.92500000127
1696329900,0.2613,0.262,0.2609,0.262,556012.1,384881.9400000012
1696330800,0.2621,0.2621,0.2609,0.2609,284475.8,389317.78000000125
1696331700,0.2608,0.2611,0.26,0.2602,576043.8,402654.4400000012
1696332600,0.2602,0.2611,0.2601,0.2608,287479.4,405920.23000000126
1696333500,0.2609,0.2611,0.2604,0.261,176386.1,396365.34500000125
1696334400,0.261,0.2611,0.2599,0.2599,692762.2,408381.1350000013
1696335300,0.26,0.2614,0.2598,0.2613,897478.5,436601.3500000013
1696336200,0.2614,0.262,0.2613,0.2613,357213.8,436062.5000000013
1696337100,0.2614,0.2625,0.2614,0.262,782434.7,463007.0800000013
1696338000,0.2621,0.2628,0.2617,0.2627,416187.8,464180.60500000126
1696338900,0.2627,0.2639,0.2626,0.2636,758447.6,476602.4050000013
1696339800,0.2636,0.264,0.2631,0.2639,642090.6,492195.4550000013
1696340700,0.264,0.2641,0.2633,0.2633,673132.2,501541.2750000012
1696341600,0.2633,0.2634,0.2622,0.2631,757870.8,504497.1800000013
1696342500,0.2631,0.2632,0.2617,0.262,1140016.6,542347.1100000013
1696343400,0.262,0.2625,0.2611,0.2622,780930.5,562801.7500000013
1696344300,0.2622,0.2624,0.2607,0.2622,1066341.2,598951.5300000013
1696345200,0.2622,0.2627,0.2608,0.2623,1422236.4,654265.7000000014
1696346100,0.2623,0.2632,0.2623,0.2629,416780.3,657569.7100000014
1696347000,0.2629,0.2632,0.2618,0.262,431490.5,655790.5450000013
1696347900,0.2619,0.2623,0.2609,0.2618,780562.6,667018.0700000013
1696348800,0.2618,0.2628,0.2616,0.2624,683348.7,686961.7150000012
1696349700,0.2624,0.2632,0.2624,0.2628,604428.8,688380.9650000012
1696350600,0.2629,0.2636,0.2624,0.263,1354882.6,741751.1250000012
1696351500,0.263,0.2631,0.2617,0.2617,676649.1,766764.2750000012
1696352400,0.2618,0.2621,0.2613,0.2617,788994,771575.8650000013
1696353300,0.2617,0.2617,0.2611,0.2613,155131.2,734458.5000000012
1696354200,0.2614,0.2619,0.2612,0.2615,371673.7,735181.4950000012
1696355100,0.2614,0.2615,0.261,0.2612,626806.8,727400.1000000013
1696356000,0.2612,0.2614,0.2608,0.2611,495224.2,731351.9200000011
1696356900,0.2611,0.2613,0.2607,0.2608,1215098.4,754184.4600000011
1696357800,0.2608,0.2609,0.2597,0.2604,833008.5,763730.3550000011
1696358700,0.2603,0.2603,0.2593,0.2594,1109127.3,785530.1100000013
1696359600,0.2594,0.2607,0.2591,0.2605,444635.5,769868.3450000013
1696360500,0.2605,0.2609,0.2602,0.2605,371107.8,731422.9050000013
1696361400,0.2605,0.2606,0.2596,0.2598,290595.6,706906.1600000013
1696362300,0.2599,0.2603,0.2593,0.2595,440676.3,675622.9150000013
1696363200,0.2594,0.2601,0.258,0.26,1287978.4,668910.0150000013
1696364100,0.26,0.2613,0.2597,0.2612,893439.8,692742.9900000014
1696365000,0.2613,0.2614,0.2604,0.2608,328710.2,687603.9750000013
1696365900,0.2608,0.2612,0.2602,0.2604,500833.5,673617.5200000013
1696366800,0.2604,0.2605,0.2598,0.2599,346252.7,656762.7200000014
1696367700,0.2599,0.26,0.2592,0.2596,215302.7,637306.4150000012
1696368600,0.2595,0.2596,0.2588,0.2589,222239.7,580674.2700000012
1696369500,0.2588,0.2594,0.2586,0.259,277510.2,560717.3250000012
1696370400,0.259,0.2594,0.2583,0.2594,434049.5,542970.1000000013
1696371300,0.2594,0.2594,0.2586,0.2589,746612.7,572544.1750000012
1696372200,0.2588,0.2588,0.2581,0.2585,1020619.6,604991.4700000013
