time,open,high,low,close,Volume,Volume MA
1523923200,0.25551,0.288,0.23983,0.2426,67462293.23999994,NaN
1524009600,0.2426,0.2646,0.24201,0.262,31328095.78999999,NaN
1524096000,0.26199,0.275,0.25777,0.27004,50859980.22000003,NaN
1524182400,0.27004,0.30442,0.26648,0.30108,71084276.48999994,NaN
1524268800,0.30161,0.307,0.26509,0.28668,92719842.91000009,NaN
1524355200,0.28669,0.2973,0.27716,0.2816,48693828.45999994,NaN
1524441600,0.2816,0.28867,0.28064,0.28788,34341260.84999997,NaN
1524528000,0.28798,0.32,0.28593,0.30853,90526059.79000002,NaN
1524614400,0.3085,0.31099,0.2573,0.2687,124688510.2599998,NaN
1524700800,0.2687,0.2939,0.255,0.29326,68109625.26000002,NaN
1524787200,0.29326,0.30643,0.28145,0.28445,69781321.85999995,NaN
1524873600,0.2844,0.36498,0.2817,0.35676,168937876.22999993,NaN
1524960000,0.35675,0.3866,0.3415,0.36254,162840221.98999992,NaN
1525046400,0.36251,0.3637,0.33,0.34145,93142615.39000018,NaN
1525132800,0.34145,0.36034,0.3187,0.35504,120368721.74999976,NaN
1525219200,0.35498,0.37586,0.345,0.37199,65457686.29000012,NaN
1525305600,0.37199,0.3885,0.36402,0.36716,88326409.65000004,NaN
1525392000,0.36683,0.36897,0.3465,0.358,56069269.36999999,NaN
1525478400,0.3584,0.37434,0.35771,0.36502,46962690.28000003,NaN
1525564800,0.36502,0.36641,0.33538,0.34654,63926868.16000002,80781372.71199998
1525651200,0.34599,0.3474,0.291,0.33046,64060938.78999996,80611304.98949997
1525737600,0.33079,0.34559,0.3163,0.32213,45105012.01000002,81300150.80049998
1525824000,0.32213,0.32547,0.298,0.31884,60635549.23999998,81788929.25149998
1525910400,0.31884,0.3221,0.291,0.29121,38210521.23999997,80145241.48899998
1525996800,0.29121,0.29349,0.2488,0.25573,141274876.67000008,82572993.17699997
1526083200,0.25574,0.27898,0.23402,0.2655,145891622.18000013,87432882.86299998
1526169600,0.26497,0.285,0.256,0.27718,80814388.51999992,89756539.24649999
1526256000,0.27718,0.27815,0.25123,0.26655,91273066.64000013,89793889.58899999
1526342400,0.26631,0.275,0.2513,0.25394,45482311.91999999,85833579.672
1526428800,0.25394,0.2558,0.237,0.25237,52406357.98000001,85048416.308
1526515200,0.25237,0.26054,0.23666,0.23919,40168712.79999998,83567785.855
1526601600,0.23915,0.245,0.23037,0.24324,42061886.81000006,77223986.38400002
1526688000,0.24382,0.2475,0.2358,0.24116,32607149.45999998,70712332.75750002
1526774400,0.24151,0.26006,0.23832,0.25556,47300696.99000002,68420236.8375
1526860800,0.25556,0.25999,0.24301,0.24563,41754180.19999986,64489509.76000001
1526947200,0.24588,0.2473,0.21841,0.22,46428678.87999998,63538059.3895
1527033600,0.22,0.2231,0.1927,0.1978,109710282.21000001,64607253.0175
1527120000,0.19767,0.2104,0.18865,0.2073,77927006.83000001,65700139.890499994
1527206400,0.20731,0.209,0.19351,0.19788,75352005.67999989,67119605.66049999
1527292800,0.19798,0.204,0.1938,0.19504,75181277.31999992,67682326.11849998
1527379200,0.19506,0.1958,0.1901,0.19186,69065730.80000004,67932565.71899998
1527465600,0.19198,0.194,0.17125,0.17249,97552880.14000013,70554959.1255
1527552000,0.17249,0.20896,0.17055,0.20164,152229997.76999977,75134681.55199997
1527638400,0.20176,0.21683,0.19689,0.20779,170042582.0999998,81726284.59499995
1527724800,0.20846,0.22879,0.20321,0.2233,168752746.01999992,83100178.06249996
1527811200,0.22331,0.2285,0.21347,0.22038,120335358.80000004,81822364.89349994
1527897600,0.22038,0.23,0.21666,0.22648,112561553.74000007,83409723.15449995
1527984000,0.22647,0.23677,0.22259,0.22659,118516861.03999998,84771912.87449995
1528070400,0.2266,0.2303,0.20882,0.21243,117544611.9300001,88375027.87499994
1528156800,0.21217,0.2216,0.20221,0.21839,126059314.92000017,92057675.72199994
1528243200,0.21835,0.21949,0.20799,0.21452,95597932.0000001,94829136.68199995
1528329600,0.2147,0.21863,0.208,0.21019,88495885.67000002,97150836.62499996
1528416000,0.21034,0.21053,0.20025,0.2043,88036857.33999991,99922322.01899995
1528502400,0.2043,0.21,0.20031,0.2011,77594290.31000017,101437001.68499996
1528588800,0.20108,0.20108,0.16806,0.17346,142220130.36000013,106460299.19299997
1528675200,0.17346,0.18067,0.16404,0.17897,89060527.56999993,108591891.62749997
1528761600,0.1791,0.1813,0.158,0.16297,92630936.01000012,107737924.31749997
1528848000,0.16309,0.16609,0.145,0.15791,123774555.34999982,110030301.74349996
1528934400,0.15798,0.177,0.153,0.17062,201282329.40000015,116326817.92949998
1529020800,0.17091,0.171,0.15997,0.16097,114391790.29999985,118287343.57849999
1529107200,0.16098,0.16436,0.15762,0.16191,78883976.90000005,118778255.88349998
1529193600,0.16209,0.16436,0.15962,0.16044,83655537.2,118083388.73649995
1529280000,0.16047,0.1681,0.1554,0.1637,106510458.4999999,115797411.77299996
1529366400,0.1637,0.17149,0.1612,0.167,92579516.19999994,111924258.47799996
1529452800,0.16675,0.16768,0.15675,0.16182,101010133.39999995,108537127.84699996
1529539200,0.16181,0.16369,0.1567,0.15779,81701394.89999989,106605429.65199995
1529625600,0.15773,0.15861,0.13429,0.13843,130675681.77999987,107511136.05399995
1529712000,0.13786,0.14189,0.13345,0.1371,87709847.29999982,105970785.36699994
1529798400,0.13708,0.13828,0.1191,0.13093,143899464.51000023,107288527.99599995
1529884800,0.13085,0.13889,0.12619,0.13521,112684748.80000001,106619799.68999994
1529971200,0.13521,0.13571,0.12458,0.12519,64025933.40000002,105041199.75999995
1530057600,0.12512,0.12832,0.12271,0.12752,94123430.10000002,105322576.98149994
1530144000,0.12753,0.12891,0.11742,0.11825,98846440.60000002,105863056.14449994
1530230400,0.11818,0.127,0.11359,0.12534,127501994.7000001,108358441.36399993
1530316800,0.12541,0.1388,0.12533,0.13784,165385662.30000025,109516717.96099994
1530403200,0.13783,0.1459,0.13303,0.14211,154425115.8,112784947.37249994
1530489600,0.14196,0.16209,0.1376,0.15448,188333609.60000008,117570081.05199993
1530576000,0.15448,0.16054,0.14811,0.14966,185062896.20000002,120634498.09449992
1530662400,0.14973,0.15999,0.14586,0.15112,102961027.20000009,115718432.98449993
1530748800,0.15122,0.15598,0.143,0.14736,124928340.69999987,116245260.50449994
1530835200,0.14735,0.14759,0.13803,0.14501,95720066.49999982,117087064.98449993
1530921600,0.14528,0.14842,0.13698,0.14783,90194782.40000002,117414027.24449995
1531008000,0.14775,0.15,0.14405,0.14481,92832130.69999981,116730110.85449994
1531094400,0.14482,0.14575,0.13876,0.13935,75579037.60000002,115880086.92449994
1531180800,0.13934,0.13972,0.12711,0.12814,111283154.20000002,116393737.96449992
1531267200,0.12807,0.13376,0.12467,0.13144,99990240.30000006,117308180.23449993
1531353600,0.13145,0.13149,0.122,0.1275,86139318.2999999,115081362.06049994
1531440000,0.12747,0.14356,0.12458,0.13768,152719307.49999997,118331835.07049994
1531526400,0.13735,0.14117,0.13303,0.1365,115057588.40000023,116889741.26499994
1531612800,0.13664,0.14594,0.13459,0.14227,109368381.49999991,116723922.89999993
1531699200,0.14231,0.15855,0.14037,0.15655,149953483.99999985,121020300.42999992
1531785600,0.15655,0.17644,0.15002,0.17136,213123360.5999998,126970296.95499992
1531872000,0.17136,0.19701,0.17109,0.18053,416309853.9899999,142843467.62449992
1531958400,0.18061,0.19217,0.17149,0.18191,282232209.8000004,150579978.3794999
1532044800,0.18164,0.18348,0.159,0.16129,253384617.5,154979926.1394999
1532131200,0.16112,0.16998,0.15388,0.16327,174968628.30000013,156007101.7644999
1532217600,0.1634,0.1792,0.16164,0.16916,189326194.19999966,156056730.9944999
1532304000,0.16937,0.18057,0.16409,0.16423,194302721.30000004,156518722.24949992
1532390400,0.16411,0.17868,0.16001,0.17349,240608913.20000005,163401116.5494999
1532476800,0.1736,0.17728,0.16644,0.17275,176309661.40000004,165970182.5844999
1532563200,0.17274,0.1755,0.1616,0.164,148549658.70000002,168611662.1944999
1532649600,0.16397,0.1693,0.1551,0.1659,166105202.19999978,172407183.1844999
1532736000,0.16586,0.16662,0.15915,0.1641,93577557.90000005,172444454.5444999
1532822400,0.16387,0.1656,0.15954,0.16268,86539098.90000018,172992457.6094999
1532908800,0.16274,0.163,0.14716,0.15327,117831615.29999988,173319880.6644999
1532995200,0.15323,0.15349,0.139,0.14175,139280124.79999992,175284374.88949987
1533081600,0.14152,0.14474,0.135,0.13984,125588838.30000016,177256850.8894999
1533168000,0.13983,0.14149,0.1285,0.13039,131792025.00000004,176210486.7644999
1533254400,0.13079,0.13473,0.1229,0.12947,138792398.40000007,177397227.2644999
1533340800,0.12941,0.13358,0.12353,0.12639,101749830.69999984,177016299.72449988
1533427200,0.12622,0.1313,0.1244,0.13024,96484560.39999975,174342853.54449987
1533513600,0.1305,0.13618,0.12644,0.12937,103522434.8000001,168862807.25449988
1533600000,0.12937,0.13227,0.12252,0.12365,117382777.30000009,153916453.4199999
1533686400,0.1238,0.12387,0.10855,0.11292,165723801.65000033,148091033.0124999
1533772800,0.11281,0.12631,0.11272,0.12213,177290775.9,144286340.93249992
1533859200,0.12213,0.1238,0.11132,0.11485,163283852.59999976,143702102.1474999
1533945600,0.11461,0.11633,0.10713,0.11022,132856521.30000004,140878618.5024999
1534032000,0.11022,0.1145,0.10859,0.11153,84899955.50000006,135408480.21249992
1534118400,0.11152,0.11415,0.101,0.10104,117825288.07000008,129269298.95599993
1534204800,0.10102,0.10113,0.084,0.0935,178829259.06999984,129395278.8394999
1534291200,0.0935,0.10131,0.09339,0.09361,184857078.8000001,131210649.84449992
1534377600,0.09361,0.0982,0.09138,0.0946,124134745.29999991,129112126.99949992
1534464000,0.0946,0.11,0.0937,0.11,234081259.80000028,136137312.09449992
1534550400,0.11,0.11247,0.09514,0.09831,213897957.49999988,142505255.02449992
1534636800,0.09832,0.10356,0.09633,0.10143,123775994.1,142802473.96449992
1534723200,0.10131,0.10299,0.09159,0.09174,135267717.59999985,142601853.60449994
1534809600,0.09203,0.09541,0.09001,0.09469,132327843.79999992,142938803.8794999
1534896000,0.09469,0.10082,0.08682,0.08955,188859218.1000001,145792163.5344999
1534982400,0.08926,0.0942,0.08835,0.09232,127991686.60000013,145252127.9444999
1535068800,0.09222,0.0945,0.0903,0.09381,122264201.20000012,146277846.46949992
1535155200,0.09372,0.09496,0.09177,0.09413,122813941.70000012,147594315.53449994
1535241600,0.0942,0.09467,0.0905,0.09306,106480637.60000007,147742225.67449993
1535328000,0.09306,0.10157,0.09206,0.10051,167559247.90000013,150251049.20449993
1535414400,0.1005,0.10749,0.0996,0.10555,216112224.00000015,152770470.32199994
1535500800,0.10555,0.10919,0.10121,0.10535,223271747.1000002,155069518.88199994
1535587200,0.10535,0.10753,0.09661,0.10066,192982516.50000015,156554452.07699996
1535673600,0.10083,0.10343,0.09851,0.1017,150820489.39999974,157452650.48199993
1535760000,0.10158,0.11032,0.10131,0.10699,197881916.19999954,163101748.5169999
1535846400,0.10699,0.10771,0.102,0.10499,160240191.30000007,165222493.67849988
1535932800,0.10471,0.1055,0.10215,0.10352,112188192.59999979,161890440.3549999
1536019200,0.1036,0.10709,0.10334,0.10521,140038509.99999988,159649511.9149999
1536105600,0.10522,0.10621,0.08561,0.08637,234574386.69999996,165171493.9849999
1536192000,0.08637,0.08877,0.08085,0.0884,183458796.2999999,162640370.80999988
1536278400,0.08835,0.08946,0.0813,0.08287,135249064.29999992,158707926.14999986
1536364800,0.08285,0.0844,0.07654,0.07749,131933174.10000007,159115785.14999986
1536451200,0.07737,0.08097,0.07353,0.07601,160703125.00000003,160387555.51999986
1536537600,0.07592,0.07867,0.0666,0.07343,173188426.69999972,162430584.66499987
1536624000,0.07345,0.07475,0.06574,0.0701,181972671.89999995,162086257.35499987
1536710400,0.06999,0.07036,0.06089,0.06627,283607640.7,169867055.05999988
1536796800,0.06628,0.07181,0.06497,0.06951,317801481.4999997,179643919.07499984
1536883200,0.06957,0.07077,0.06541,0.06749,234221654.5999997,185214304.71999982
1536969600,0.06743,0.07068,0.06732,0.06895,154219827.10000002,187601264.1949998
1537056000,0.06889,0.07,0.06568,0.06988,141868349.3,186316719.2649998
1537142400,0.06988,0.07023,0.06256,0.06347,203297571.69999993,185675986.6499998
1537228800,0.06332,0.07012,0.06193,0.069,236846149.50000012,186354706.7699998
1537315200,0.06892,0.07441,0.06622,0.07218,365958539.1000005,195003507.8999998
1537401600,0.07218,0.08389,0.07111,0.08089,330838102.6000003,204004388.55999985
1537488000,0.08086,0.09035,0.08065,0.08773,551641826.0000006,221692384.0499999
1537574400,0.08767,0.08913,0.0792,0.08338,227327697.59999987,225046759.36499986
1537660800,0.08331,0.0939,0.08281,0.08986,424470856.09999967,240660892.53999987
1537747200,0.08985,0.09197,0.08146,0.08241,323249784.19999915,249821456.24999982
1537833600,0.08245,0.08246,0.07425,0.08108,328241866.99999994,254504830.2649998
1537920000,0.08114,0.08311,0.07648,0.07913,254963273.0999998,258080054.10499978
1538006400,0.07912,0.0889,0.07777,0.08629,346873558.6000003,268661278.8199998
1538092800,0.0863,0.0885,0.081,0.0839,316240861.2000004,277876663.17499983
1538179200,0.0839,0.0868,0.08106,0.08446,208369497.3,280259981.78999984
1538265600,0.08444,0.0874,0.0825,0.08511,189401740.90000018,281070647.4999999
1538352000,0.08511,0.087,0.08203,0.08467,136128526.59999996,278778440.2349999
1538438400,0.08451,0.0851,0.08151,0.08224,133043293.2000001,271250222.8599999
1538524800,0.08221,0.08248,0.0782,0.08088,146109517.90000004,262665624.6799999
1538611200,0.08082,0.08319,0.08044,0.08164,123500312.19999987,257129557.55999988
1538697600,0.08161,0.0845,0.08029,0.08339,117646712.89999987,255300901.84999985
1538784000,0.08339,0.08411,0.0808,0.08151,110744781.8999999,253744723.47999984
1538870400,0.08156,0.08558,0.08033,0.08464,128627175.19999988,250011203.65499982
1538956800,0.08465,0.0889,0.08348,0.08698,182425366.59999982,247290164.5099998
1539043200,0.08698,0.08808,0.0848,0.08659,134872526,235735863.85499978
1539129600,0.08655,0.0869,0.08359,0.08542,131687962.59999976,225778356.85499972
1539216000,0.08547,0.08547,0.0692,0.07079,264184139.70000064,211405472.53999975
1539302400,0.07079,0.0766,0.0695,0.0732,163124680.69999975,208195321.69499975
1539388800,0.07314,0.07545,0.07258,0.07374,110544712.69999996,192499014.52499977
1539475200,0.07374,0.07459,0.07098,0.0717,126401158.70000003,182656583.2499998
1539561600,0.07164,0.08497,0.07,0.07671,301872201.7999992,181338099.98999974
1539648000,0.0767,0.07884,0.07565,0.07777,115794153.4000002,174379644.00499976
1539734400,0.07772,0.08132,0.07701,0.07994,131284052.99999987,163600168.72499973
1539820800,0.07994,0.08069,0.075,0.07668,127667976.0999999,154171524.46999973
1539907200,0.07668,0.0779,0.07577,0.07683,79407741.29999994,147723436.6699997
1539993600,0.07691,0.07876,0.0761,0.07768,97554450.99999982,143131072.17499968
1540080000,0.07769,0.07908,0.07691,0.07721,97607480.6000001,141205019.8749997
1540166400,0.07722,0.07785,0.0761,0.07731,65297281.20000006,137817719.27499968
