time,open,high,low,close,Volume,Volume MA
1522540800,0.25551,0.3885,0.11359,0.13784,6904215068.77,NaN
1530403200,0.13783,0.19701,0.06089,0.08511,16681387458.179998,NaN
1538352000,0.08511,0.0889,0.02708,0.04054,13294124271.760002,NaN
1546300800,0.04057,0.07338,0.03588,0.06989,14109079522.099997,NaN
1554076800,0.06984,0.10687,0.0591,0.08226,17286619170.800003,NaN
1561939200,0.08227,0.08599,0.03498,0.03888,10076803225.199995,NaN
1569888000,0.03888,0.04624,0.03032,0.03285,12312153147.000002,NaN
1577836800,0.03285,0.07231,0.01765,0.03045,28116467620.200005,NaN
1585699200,0.03045,0.09039,0.02942,0.08299,32051517469.40002,NaN
1593561600,0.083,0.15464,0.07545,0.10136,37766724850.600006,NaN
1601510400,0.10136,0.19725,0.08793,0.18134,42331142426.39998,NaN
1609459200,0.18134,1.488,0.16793,1.19191,72838818884.22002,NaN
1617235200,1.19172,2.47,0.92,1.3853,51228755585.689995,NaN
1625097600,1.3853,3.101,1.0202,2.115,25659678026.600006,NaN
1633046400,2.115,2.378,1.182,1.308,16427405637.580004,NaN
1640995200,1.308,1.638,0.746,1.141,16277053106.199997,NaN
1648771200,1.141,1.245,0.4019,0.4599,20234020931.44001,NaN
1656633600,0.4599,0.5948,0.4023,0.4347,16180149403.099997,NaN
1664582400,0.4346,0.44,0.2392,0.2458,10353122858.740004,NaN
1672531200,0.2458,0.4213,0.2434,0.3989,12626987754.800001,23637811320.939003
1680307200,0.3989,0.4617,0.22,0.2869,10258082721.1,23805504703.5555
1688169600,0.287,0.3793,0.2367,0.254,7390004140.899996,23340935537.6915
1696118400,0.254,0.68,0.2394,0.594,13541552257.4,23353306936.973503
1704067200,0.5939,0.637,0.5,0.5198,1049794245.0000006,22700342673.118504
