time,open,high,low,close,Volume,Volume MA
1700312400,36449.3,36465.99,36347.69,36460.95,529.46014,311.2274159999764
1700314200,36460.95,36483.13,36402.21,36430.21,358.26046,318.26501649997647
1700316000,36430.21,36510.16,36421.1,36483.18,322.04817,326.5941264999764
1700317800,36483.17,36568.76,36456.12,36507.03,481.08002,339.49642249997646
1700319600,36507.04,36628,36505.14,36619.29,724.37841,360.11930699997646
1700321400,36619.29,36682.2,36550,36664.16,716.53177,380.0871444999765
1700323200,36664.17,36845.49,36644.22,36755.88,1039.08326,421.24190199997645
1700325000,36755.88,36760,36639.96,36674,630.50509,432.7901844999765
1700326800,36674,36701.76,36600.1,36646.76,612.07935,434.5996129999765
1700328600,36646.77,36660,36606,36620,321.42233,419.90305199997647
1700330400,36620.01,36646,36611.47,36634.34,271.14316,418.81478299997644
1700332200,36634.34,36745.5,36622.51,36707.19,311.93214,419.02368599997646
1700334000,36707.18,36768,36676.38,36702.23,376.21432,426.6903604999764
1700335800,36702.22,36702.23,36653.51,36679.1,222.46116,429.05365649997646
1700337600,36679.09,36707.16,36536.08,36589.99,550.88752,444.9542169999765
1700339400,36590,36640,36584.76,36598,228.99431,437.9744609999765
1700341200,36597.99,36611.78,36540.92,36558.09,335.33446,436.2686279999765
1700343000,36558.09,36575.82,36524.31,36542.01,246.16345,439.5612484999765
1700344800,36542.01,36556.56,36443.1,36499,338.60609,442.9465464999765
1700346600,36498.99,36531.1,36478.88,36506,204.5198,441.0552704999765
1700348400,36506,36571.33,36498.34,36530.54,270.29206,428.0968664999765
1700350200,36530.54,36568.53,36516.62,36568.1,233.72924,421.87030549997655
1700352000,36568.11,36573.44,36511.65,36546.01,286.32181,420.0839874999765
1700353800,36546,36559.47,36456,36464.69,252.26186,408.64307949997647
1700355600,36464.69,36491.55,36434.56,36444.01,292.1822,387.0332689999765
1700357400,36444.02,36489.62,36388.27,36485.44,333.08354,367.8608574999765
1700359200,36485.44,36497.69,36401.1,36435.97,273.39584,329.57648649997645
1700361000,36435.97,36471.02,36432.52,36453.99,200.80005,308.09123449997645
1700362800,36454,36456,36427,36427,195.65403,287.26996849997647
1700364600,36427.01,36521.12,36422.6,36521.11,283.23795,285.3607494999764
1700366400,36521.11,36530.75,36489.02,36491.1,145.14809,279.0609959999764
1700368200,36491.11,36534.94,36491.1,36534.93,143.70434,270.6496059999764
1700370000,36534.94,36548.41,36518,36547.99,200.02483,261.84013149997645
1700371800,36548,36548,36510.95,36510.96,130.65697,257.24992199997644
1700373600,36510.95,36653.06,36500,36576,520.42413,255.72675249997647
1700375400,36576.01,36635.11,36574,36601.09,235.1538,256.03472699997644
1700377200,36601.09,36669,36578,36608,438.61372,261.19868999997647
1700379000,36608,36626.83,36591.99,36611.5,236.63817,260.7224259999765
1700380800,36611.49,36716,36603.03,36680,304.36081,259.0101619999765
1700382600,36680.01,36680.01,36612.53,36615.99,262.39458,261.9039009999765
1700384400,36616,36632.68,36578.85,36632.67,220.45357,259.4119764999765
1700386200,36632.67,36660.36,36616.78,36627.88,173.11097,256.3810629999765
1700388000,36627.87,36632.16,36533.49,36541.66,205.60209,252.34507699997647
1700389800,36541.65,36562.01,36530.52,36530.53,203.14669,249.88931849997647
1700391600,36530.52,36531.09,36384.02,36420.09,853.3701,277.94871349997646
1700393400,36420.09,36477.5,36405.87,36453.62,358.48668,279.2188704999765
1700395200,36453.63,36484.5,36403.09,36434,297.09236,280.4036964999765
1700397000,36434,36494,36414.64,36492.63,376.70398,289.19889299997647
1700398800,36492.63,36515.5,36461.17,36480,317.82056,295.3072194999765
1700400600,36480,36511.1,36479.87,36487.04,188.58828,290.5747359999765
1700402400,36487.04,36487.05,36385.7,36470.01,389.4855,302.7916064999765
1700404200,36470,36482,36425.48,36457.99,327.10145,311.9614619999765
1700406000,36457.99,36560,36406.53,36539.99,462.61797,325.0911189999765
1700407800,36539.99,36570,36510.95,36568.27,322.42126,334.6793334999765
1700409600,36568.27,36640,36526.59,36542.7,455.74698,331.4454759999765
1700411400,36542.69,36558,36511.11,36557.98,226.78116,331.0268439999765
