time,open,high,low,close,Volume,Volume MA
1704456540,64.998859,65.082704,64.994296,65.082704,135.315,70.64049999999801
1704456720,65.029812,65.063767,64.942289,65.063767,113.525,68.48954999999802
1704456900,65.089213,65.284684,65.089213,65.24203,35.928,68.73204999999803
1704457080,65.318099,65.345544,65.175745,65.345544,62.306,67.72029999999803
1704457260,65.306155,65.437732,65.306155,65.323264,51.578,67.73614999999803
1704457440,65.561863,65.632061,65.429859,65.543787,214.328,77.58504999999803
1704457620,65.490516,65.490516,65.326031,65.413953,52.634,79.18184999999804
1704457800,65.395821,65.4398,65.306172,65.306172,104.227,82.31744999999803
1704457980,65.378011,65.442686,65.354726,65.442686,23.473,78.81304999999803
1704458160,65.360759,65.421601,65.324411,65.421601,46.238,61.67999999999803
1704458340,65.389784,65.501577,65.389784,65.457616,123.463,67.31489999999802
1704458520,65.398711,65.463438,65.35479,65.358884,39.936,67.18019999999801
1704458700,65.348853,65.41582,65.317903,65.405754,48.718,67.40344999999802
1704458880,65.357302,65.432363,65.269516,65.432363,37.75,67.09299999999801
1704459060,65.322943,65.433395,65.322943,65.3722,37.007,67.73639999999803
1704459240,65.471539,65.471539,65.359849,65.466979,21.633,66.53824999999803
1704459420,65.453942,65.497871,65.384626,65.395733,14.986,61.451199999998025
1704459600,65.413876,65.574176,65.369974,65.574176,78.755,64.46434999999803
1704459780,65.647582,65.691582,65.55486,65.55486,20.217,64.97789999999804
1704459960,65.625739,65.628244,65.61229,65.61229,7.674,63.484549999998045
1704460140,65.596654,65.644558,65.596654,65.643723,8.285,57.13304999999805
1704460320,65.541668,65.665757,65.541668,65.665757,4.632,51.68839999999805
1704460500,65.673525,65.809285,65.629479,65.765177,42.812,52.03259999999805
1704460680,65.721878,65.721878,65.583764,65.633085,16.871,49.760849999998044
1704460860,65.709578,65.709578,65.621436,65.681898,43.037,49.33379999999805
1704461040,65.566919,65.695184,65.566919,65.578891,9.914,39.11309999999805
1704461220,65.63399,65.63399,65.468858,65.468858,116.203,42.29154999999805
1704461400,65.448757,65.693807,65.389639,65.693807,76.31,40.895699999998044
1704461580,65.527273,65.571222,65.299623,65.343448,102.1,44.827049999998046
1704461760,65.384561,65.537347,65.384561,65.516162,12.639,43.14709999999805
1704461940,65.452971,65.68562,65.452971,65.520984,12.212,37.58454999999805
1704462120,65.524978,65.553661,65.39011,65.553661,142.587,42.71709999999805
1704462300,65.46228,65.46228,65.336159,65.380038,5.735,40.56794999999805
1704462480,65.234512,65.328252,65.16872,65.16872,227.33,50.046949999998056
1704462660,65.206364,65.483413,65.162483,65.439405,42.341,50.313649999998056
1704462840,65.389855,65.433859,65.181769,65.227249,82.597,53.36184999999806
1704463020,65.295035,65.387951,65.294681,65.343918,27.484,53.986749999998054
1704463200,65.374422,65.506669,65.374422,65.48348,90.975,54.59774999999805
1704463380,65.331372,65.40501,65.19939,65.3171,77.095,57.44164999999805
1704463560,65.386111,65.386111,65.260983,65.307798,12.34,57.67494999999805
1704463740,65.306958,65.306958,65.14841,65.14841,7.662,57.643799999998045
1704463920,65.129887,65.217604,65.086029,65.15237,20.71,58.44769999999804
1704464100,65.213226,65.25714,65.168869,65.190062,15.937,57.10394999999804
1704464280,65.190969,65.190969,64.74954,64.837099,278.593,70.19004999999804
1704464460,64.826687,65.0038,64.782915,64.930693,19.543,69.01534999999804
1704464640,64.962563,65.033688,64.918758,64.977586,53.996,71.21944999999803
1704464820,64.910836,64.987877,64.812825,64.987877,21.13,66.46579999999804
1704465000,64.963186,65.062706,64.944767,65.062706,13.051,63.302849999998045
1704465180,65.003385,65.047188,64.565898,64.565898,163.421,66.36889999999805
1704465360,64.615603,64.94975,64.615603,64.886693,34.244,67.44914999999806
1704465540,64.853103,64.882219,64.753989,64.882219,80.609,70.86899999999805
1704465720,64.35145,64.922851,64.35145,64.879191,135.871,70.53319999999806
1704465900,65.085105,65.085105,64.925959,64.987937,24.427,71.46779999999805
1704466080,65.018778,65.127522,64.893351,64.893351,33.837,61.79314999999806
1704466260,64.880599,64.968039,64.747217,64.764763,76.69,63.510599999998064
1704466440,64.774949,64.918273,64.774949,64.849059,300.135,74.38749999999807
1704466620,64.701703,64.701703,64.492387,64.535904,27.669,74.39674999999808
1704466800,64.747381,64.889392,64.660179,64.845695,29.947,71.34534999999808
1704466980,64.938259,64.992528,64.938259,64.948792,9.963,67.98874999999808
1704467160,65.012024,65.046213,64.936555,65.002469,55.023,70.12289999999807
1704467340,64.991619,65.180177,64.947854,65.09251,15.813,70.53044999999807
1704467520,65.109075,65.15289,65.005596,65.005596,29.52,70.97094999999807
1704467700,64.97835,64.97835,64.87163,64.915403,20.231,71.18564999999808
1704467880,64.874443,64.874443,64.346005,64.389629,50.052,59.75859999999807
1704468060,64.472876,64.852646,64.385514,64.852646,106.043,64.08359999999807
1704468240,64.878996,64.878996,64.831755,64.873324,32.231,62.99534999999806
1704468420,64.728805,64.802132,64.728805,64.797649,10.972,62.487449999998056
1704468600,64.691339,64.910412,64.691339,64.885595,51.151,64.39244999999806
1704468780,64.908226,65.003083,64.908226,65.003083,58.614,59.152099999998065
1704468960,64.954865,65.115609,64.954865,65.115609,141.933,64.53654999999807
1704469140,65.029797,65.135087,65.029797,65.135087,49.57,62.98459999999807
1704469320,65.06828,65.112038,64.785913,64.87305,31.104,57.746249999998064
1704469500,64.898571,65.017078,64.898571,65.017078,145.309,63.79034999999807
1704469680,65.078676,65.130228,64.909072,64.952577,192.026,71.69979999999808
1704469860,64.984936,65.065678,64.884571,64.92803,186.67,77.19879999999807
1704470040,64.996246,64.996246,64.843543,64.843543,10.523,62.71819999999807
1704470220,64.913568,65.03007,64.913568,65.03007,33.158,62.99264999999806
1704470400,65.15651,65.221655,65.112927,65.221655,41.298,63.56019999999806
1704470580,65.163247,65.260205,65.146626,65.146626,36.131,64.86859999999807
1704470760,65.099442,65.166595,64.968697,65.07959,180.158,71.12534999999806
1704470940,65.173126,65.301072,65.109784,65.301072,50.721,72.87074999999807
1704471120,65.350575,65.350575,65.263287,65.263287,26.728,72.73114999999807
1704471300,65.337502,65.337502,65.220383,65.307518,9.299,72.18454999999807
1704471480,65.203437,65.246993,65.046634,65.046634,117.183,75.54109999999807
1704471660,65.071386,65.071386,64.946567,64.99001,72.398,73.85884999999806
1704471840,64.938009,65.082375,64.912218,64.995599,34.732,73.98389999999806
1704472020,65.137605,65.137605,65.028495,65.071905,8.263,73.84844999999805
1704472200,65.128702,65.128702,64.993172,65.079945,14.676,72.02469999999805
1704472380,65.074035,65.279225,65.074035,65.259508,110.218,74.60489999999805
1704472560,65.12916,65.524983,65.12916,65.481531,302.417,82.62909999999805
1704472740,65.578743,65.630228,65.433746,65.564265,498.175,105.05934999999806
1704472920,65.533605,65.533605,65.35447,65.35447,224.06,114.70714999999807
1704473100,65.301568,65.332915,65.274757,65.274757,35.967,109.24004999999806
1704473280,65.089279,65.287374,65.002666,65.244023,213.576,110.31754999999805
1704473460,65.20595,65.231065,65.144379,65.153367,24.747,102.22139999999806
1704473640,65.192911,65.236286,64.938914,64.982235,47.123,104.05139999999805
1704473820,64.98888,65.075532,64.685211,64.858282,57.446,105.26579999999805
1704474000,64.980211,65.203273,64.980211,65.116566,241.479,115.27484999999804
1704474180,65.093766,65.179465,64.545137,64.848165,240.593,125.49794999999804
1704474360,64.956975,64.956975,64.610538,64.877505,246.619,128.82099999999804
1704474540,64.687411,65.244405,64.687411,65.071228,196.336,136.10174999999805
1704474720,65.017571,65.14752,64.887795,65.06083,214.543,145.49249999999805
1704474900,65.17988,65.249423,65.17988,65.186419,3.748,145.21494999999805
1704475080,65.184907,65.184907,64.999833,65.043195,37.961,141.25384999999804
1704475260,65.014545,65.11971,65.014545,65.076297,144.47,144.857449999998
