time,open,high,low,close,Volume,Volume MA
1513123200,272,330,260,290.01,9565.16019,NaN
1513209600,290.01,302.72,252,272.4,9631.98382,NaN
1513296000,272.4,314.21,239.99,294,16579.78235,NaN
1513382400,294,305,285,293.97,9102.10005,NaN
1513468800,293.01,328.8,290,311.4,14682.26118,NaN
1513555200,311.23,360.96,277,352,17210.06137,NaN
1513641600,352,366.96,303.01,338.48,23190.32542,NaN
1513728000,336.05,357,260,302.7,31586.76711,NaN
1513814400,303.8,325.16,267.01,302,26212.1583,NaN
1513900800,303,315,177.58,250.99,81233.42425,NaN
1513987200,250.99,301.52,214.91,253.44,38709.14008,NaN
1514073600,253.44,277,220.03,262.9,33435.37202,NaN
1514160000,262.9,277.5,251.4,261.2,24415.6917,NaN
1514246400,261.17,282.82,258,277.98,21987.89021,NaN
1514332800,277.98,284.34,245.29,262.59,25036.78582,NaN
1514419200,262.61,266.7,222.03,244.68,34832.27138,NaN
1514505600,244.68,261,233.97,238.27,34985.03167,NaN
1514592000,238.27,244,193.2,206.03,52930.1782,NaN
1514678400,206.11,234.37,202.98,223.69,29739.10081,NaN
1514764800,223.69,231.19,212.74,222.61,20221.253,27764.3369465
1514851200,222.62,256.49,222.62,247.33,63293.12934,30450.735404
1514937600,247.33,253.4,233.56,238.77,71369.27484,33537.599955
1515024000,238.89,240,219.38,233,78182.30493,36617.726084
1515110400,233.04,250.99,230,240.54,65010.14465,39413.128314
1515196800,240.95,315,238.73,275.28,100812.2137,43719.62594
1515283200,276.24,287,262,269.01,43811.61108,45049.703425499996
1515369600,269.01,271.82,212.74,252.65,76256.97086,47703.035697499996
1515456000,252.49,257.64,228.24,244.48,53921.90417,48819.792550499995
1515542400,244.56,248.99,225.05,247.63,70931.30085,51055.74967799999
1515628800,247.63,252.27,195.03,223.77,83842.47294,51186.20211249999
1515715200,223.76,240.45,213.01,233.11,45676.80703,51534.58545999999
1515801600,233.11,263.99,232.54,257.98,42811.12858,52003.37328799999
