time,open,high,low,close,Volume,Volume MA
1339977600,6.2,6.8,6.03,6.62898,581244.82732929,893734.8056970335
1341187200,6.6001,7.9,6.4,7.62101,628324.46833646,901084.280209975
1342396800,7.62277,9.7,7.3215,8.71027,1131783.23562164,911593.1787308443
1343606400,8.71027,12,8.7,11.62399,840278.07874493,918622.2001856484
1344816000,11.6239,15.4,7.58,10.61,1346915.34016154,929889.2025119753
1346025600,10.59,12.14999,9.66,11.02,690180.33843758,914998.7069073118
1347235200,11.02,12.68666,10.78,12.19331,509028.77932022,908763.7442677219
1348444800,12.151,13.0899,11.7,11.80001,408876.79179828,877516.1958837248
1349654400,11.89901,12.35,10.621,11.63107,416936.19063412,818662.3583332633
1350864000,11.63108,12,9.74,10.80011,580292.38475946,776869.5583271043
1352073600,10.80011,11.832,10.61,11.65152,352699.49615698,737367.7679286128
1353283200,11.66468,12.68778,11.57297,12.50004,371869.91895951,672553.5567669442
1354492800,12.50202,13.90119,12.42,13.30002,261119.97741154,650094.2720875827
1355702400,13.3,13.72,12.74919,13.45001,349977.65907113,623967.6010492408
1356912000,13.39112,13.561,13.16123,13.45395,143168.03362946,593379.1824436778
1357516800,13.51394,15.985,13.404,15.7,555750.63996103,581876.4803407433
1358726400,15.7,21.43,15.38613,20.59,935977.20626295,595742.7865257307
1359936000,20.59999,27.5969,19.85502,26.8146,828128.88035309,606711.6210965097
1361145600,26.89999,34.9,26.36268,34.49999,680494.84421067,617820.8209817308
1362355200,34.49999,49.099,33.3,47.4,905642.20748819,625934.4649324033
1363564800,47.4,95.7,47.12009,93.03001,1120127.95370322,652878.6212511
1364774400,93.25,266,54.25,89.99999,2049736.52282137,723949.2239753455
1365984000,90,166.43438,50.01,134.44444,2545016.88673088,794610.9065308075
1367193600,134.4,149.08,79,114.82002,1516967.37277919,828445.3712325206
1368403200,114.82,136,103.01847,133.5,558577.04258902,789028.4563538946
1369612800,133.5,135.47,88,100.43743,558247.02573086,782431.7907185585
1370822400,101,115.005,95,108.2,374911.20853518,775725.9121793065
1372032000,107.60002,109.98,65.42448,76.5,620335,786298.8225893925
1373241600,76.5,104.17188,72.46,91.998,500833,790493.6630576865
1374451200,91.98,111.65202,89.8,105.12,285032,775730.6438197135
1375660800,105.12,115,100.95969,113.38,211056,768648.4690118645
1376870400,113.395,148.7,111.771,146.01003,322160.84541543,766163.0153346605
1378080000,146.01005,148.90893,121.25,138.3002,246239,765418.9664640835
